rank1,rank2,rank3,rank4,rank5,rank6,Num Cands,Num Seats
6,6,4,5,1,6,6.0,1.0
2,3,4,5,1,6,,
5,6,3,1,4,2,,
4,6,1,6,6,6,,
1,5,6,3,4,2,,
Skipped,Skipped,3,1,4,2,,
6,4,5,1,3,2,,
6,5,3,2,4,1,,
2,1,6,6,1,6,,
3,5,6,1,4,2,,
6,5,3,1,4,2,,
6,6,3,1,4,2,,
3,4,6,1,5,2,,
4,3,1,Skipped,2,6,,
6,3,4,1,2,5,,
4,3,1,5,2,6,,
Skipped,Skipped,Skipped,1,Skipped,2,,
3,4,6,1,5,2,,
6,5,1,2,3,4,,
Skipped,6,5,1,2,3,,
1,5,6,1,3,2,,
1,6,6,6,6,2,,
4,6,3,1,5,2,,
4,2,5,3,1,6,,
1,3,6,4,5,2,,
6,6,1,1,2,4,,
6,5,6,1,2,3,,
5,4,6,1,2,3,,
1,2,6,4,3,Skipped,,
2,5,3,1,4,2,,
6,3,1,6,2,6,,
6,4,5,1,3,2,,
6,3,1,6,2,6,,
1,3,6,4,2,5,,
6,4,3,2,5,1,,
1,5,6,4,3,2,,
3,4,2,6,6,1,,
5,4,6,1,3,2,,
2,6,4,1,3,5,,
Skipped,1,Skipped,Skipped,Skipped,6,,
6,6,1,5,5,6,,
