rank1,rank2,rank3,rank4,Num Cands,Num Seats
Skipped,Skipped,3,1,4.0,1.0
4,3,1,2,,
3,4,1,2,,
Skipped,1,Skipped,Skipped,,
4,3,1,2,,
4,1,2,3,,
2,3,4,1,,
Skipped,Skipped,1,1,,
4,3,2,1,,
4,1,2,3,,
1,2,3,4,,
3,4,2,1,,
4,1,3,2,,
4,3,2,1,,
Skipped,Skipped,Skipped,1,,
4,2,1,1,,
3,4,1,2,,
4,3,1,2,,
1,4,2,3,,
2,4,4,1,,
3,2,1,4,,
4,3,2,1,,
Skipped,Skipped,2,1,,
2,4,3,1,,
4,2,3,1,,
1,1,1,1,,
Skipped,Skipped,Skipped,1,,
3,4,2,1,,
Skipped,Skipped,Skipped,1,,
Skipped,3,Skipped,1,,
2,2,1,1,,
Skipped,Skipped,Skipped,1,,
4,3,2,1,,
4,4,4,1,,
3,4,2,1,,
Skipped,Skipped,Skipped,1,,
1,4,3,2,,
3,4,2,1,,
4,3,2,1,,
4,3,1,2,,
3,1,2,4,,
2,4,1,3,,
Skipped,Skipped,Skipped,1,,
3,4,2,1,,
3,4,1,2,,
2,1,3,4,,
Skipped,Skipped,Skipped,1,,
4,1,2,3,,
3,1,2,4,,
4,3,2,1,,
Skipped,3,2,1,,
4,3,2,1,,
4,2,3,1,,
4,2,3,1,,
4,1,3,2,,
4,3,1,2,,
4,3,2,1,,
2,4,1,3,,
4,3,2,1,,
4,3,1,2,,
3,1,2,4,,
