rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
7,2,3,6,4,5,1,7.0,Unknown
7,1,7,7,3,7,2,,Unknown
7,2,3,4,7,7,1,,Unknown
5,1,4,7,6,3,1,,Unknown
7,1,7,7,4,3,2,,Unknown
7,1,2,7,7,7,3,,Unknown
7,2,1,4,5,6,3,,Unknown
4,7,1,3,3,2,3,,Unknown
7,1,7,2,3,7,7,,Unknown
6,2,3,5,7,4,1,,Unknown
7,1,7,7,4,3,2,,Unknown
6,2,2,7,5,3,4,,Unknown
6,3,2,5,7,4,1,,Unknown
6,2,4,1,7,5,3,,Unknown
6,2,5,1,3,7,4,,Unknown
7,1,2,6,4,5,3,,Unknown
7,4,1,3,7,5,2,,Unknown
7,1,7,7,2,7,7,,Unknown
5,7,2,1,4,6,3,,Unknown
6,1,4,2,7,3,5,,Unknown
7,1,6,5,2,4,3,,Unknown
7,1,7,7,7,1,7,,Unknown
4,1,6,5,7,3,2,,Unknown
7,2,3,5,6,4,1,,Unknown
7,2,3,1,4,6,5,,Unknown
7,2,6,3,5,4,1,,Unknown
7,1,5,4,3,2,6,,Unknown
7,7,2,7,7,7,1,,Unknown
4,1,2,3,5,2,5,,Unknown
7,1,3,6,4,2,5,,Unknown
7,1,7,7,3,7,2,,Unknown
7,1,3,6,2,5,4,,Unknown
5,1,4,2,7,6,3,,Unknown
1,5,6,2,3,4,7,,Unknown
7,7,1,7,7,7,2,,Unknown
7,2,5,6,4,3,1,,Unknown
7,1,7,7,3,2,4,,Unknown
3,1,7,7,7,4,2,,Unknown
