file,numCands,plurality,plurality_rank,IRV,IRV_rank,top-two,top-two_rank,borda-pm,borda-pm_rank,borda-om-no-uwi,borda-om-no-uwi_rank,borda-avg-no-uwi,borda-avg-no-uwi_rank,top-3-truncation,top-3-truncation_rank,condorcet,condorcet_rank,minimax,minimax_rank,smith_plurality,smith_plurality_rank,smith_irv,smith_irv_rank,smith-minimax,smith-minimax_rank,ranked-pairs,ranked-pairs_rank,bucklin,bucklin_rank,approval,approval_rank,smith,smith_rank
dumgal17-ballots/Nith_dumgal17-09.csv,11,['Malcolm JOHNSTONE (Con)'],1,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Malcolm JOHNSTONE (Con)'],1,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2,['Elaine MURRAY (Lab)'],2
dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,8,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Richard BRODIE (LD)'],2,['Richard BRODIE (LD)'],2,['Richard BRODIE (LD)'],2,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Ian CARRUTHERS (Con)'],1,['Richard BRODIE (LD)'],2,['Richard BRODIE (LD)'],2,['Ian CARRUTHERS (Con)'],1
dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,6,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Gail MACGREGOR (Con)'],2,['Gail MACGREGOR (Con)'],2,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Doug FAIRBAIRN (Con)'],1,['Gail MACGREGOR (Con)'],2,['Gail MACGREGOR (Con)'],2,['Doug FAIRBAIRN (Con)'],1
dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,10,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['Jim MCCOLM (Ind)'],2,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1,['David INGLIS (Con)'],1
dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,7,['David JAMES (Con)'],1,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['David JAMES (Con)'],1,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2,['Iain HOWIE (Ind)'],2
dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,8,['Graham BELL (Con)'],1,['Graham BELL (Con)'],1,['Graham BELL (Con)'],1,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['Graham BELL (Con)'],1,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4,['David MCKIE (Lab)'],4
dumgal17-ballots/DeeandGlenkens_dumgal17-03.csv,10,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Jane MAITLAND (Ind)'],4,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1,['Jane MAITLAND (Ind)'],4,['Patsy GILROY (Con)'],1,['Patsy GILROY (Con)'],1
dumgal17-ballots/Lochar_dumgal17-08.csv,10,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1,['John CHARTERIS (Con)'],1
dumgal17-ballots/AnnandaleEastandEskdale_dumgal17-12.csv,7,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1,['Karen CARRUTHERS (Con)'],1
dumgal17-ballots/Abbey_dumgal17-05.csv,8,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Davie STITT (Lab)'],2,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1,['Ian BLAKE (Con)'],1
