ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
32385_00000_949445_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_949038_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_948803_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_946976_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_944759_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will","Damron, Gary K.",skipped,1,3
32385_00000_942487_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_942020_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_941793_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_939868_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Damron, Gary K.",skipped,skipped,1,3
32385_00000_938597_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Damron, Gary K.","Stapp, Will",skipped,1,3
32385_00000_938511_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_935699_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Damron, Gary K.",skipped,skipped,1,3
32385_00000_935053_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will","Damron, Gary K.",skipped,1,3
32385_00000_934335_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
32385_00000_931389_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will","Damron, Gary K.",skipped,1,3
32385_00000_717802_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Damron, Gary K.",skipped,skipped,1,3
32385_00000_714427_,Ballot 34 - Type 34,Election Day,Judicial 4,Judicial,32-385 Badger No. 2,32-385 Badger No. 2,Region III,"Stapp, Will",skipped,skipped,1,3
