voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
26,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Grn,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Grn,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,Grn,Lab,SNP,TUSC,Andrew MCCULLAGH (Ind),Con,skipped,skipped,skipped,,9
30,Grn,Lab,SNP,TUSC,Andrew MCCULLAGH (Ind),Con,skipped,skipped,skipped,,9
31,Grn,Lab,Con,skipped,skipped,skipped,skipped,skipped,skipped,,9
32,Grn,Lab,Con,TUSC,skipped,skipped,skipped,skipped,skipped,,9
33,Grn,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
34,Grn,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
35,Grn,Lab,TUSC,Con,Andrew MCCULLAGH (Ind),SNP,skipped,skipped,skipped,,9
36,Grn,Lab,Con,skipped,skipped,skipped,skipped,skipped,skipped,,9
37,Grn,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
38,Grn,Lab,Andrew MCCULLAGH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
39,Grn,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
40,Grn,Lab,SNP,TUSC,skipped,skipped,skipped,skipped,skipped,,9
41,Grn,Lab,Andrew MCCULLAGH (Ind),Con,SNP,TUSC,skipped,skipped,skipped,,9
42,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
43,Grn,SNP,Lab,Andrew MCCULLAGH (Ind),skipped,skipped,skipped,skipped,skipped,,9
44,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
45,Grn,SNP,TUSC,Lab,skipped,skipped,skipped,skipped,skipped,,9
46,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
47,Grn,SNP,TUSC,skipped,skipped,skipped,skipped,skipped,skipped,,9
48,Grn,SNP,TUSC,Lab,Andrew MCCULLAGH (Ind),skipped,skipped,skipped,skipped,,9
49,Grn,SNP,TUSC,Andrew MCCULLAGH (Ind),Lab,Con,skipped,skipped,skipped,,9
50,Grn,SNP,TUSC,Andrew MCCULLAGH (Ind),Lab,Con,skipped,skipped,skipped,,9
51,Grn,SNP,TUSC,Andrew MCCULLAGH (Ind),Lab,Con,skipped,skipped,skipped,,9
52,Grn,SNP,TUSC,skipped,skipped,skipped,skipped,skipped,skipped,,9
53,Grn,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
54,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
55,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
56,Grn,SNP,TUSC,skipped,skipped,skipped,skipped,skipped,skipped,,9
