"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","Num Cands","Num Seats"
"2","3","6","8","4","7","5","skipped","nan","nan"
"2","3","7","8","4","1","6","5","nan","nan"
"3","2","7","8","4","1","5","6","nan","nan"
"2","3","8","7","4","1","6","5","nan","nan"
"2","3","8","7","5","1","6","4","nan","nan"
"2","3","8","7","5","1","6","4","nan","nan"
"2","3","5","6","7","1","8","4","nan","nan"
"7","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","7","5","4","1","8","6","nan","nan"
"2","3","5","7","4","1","8","6","nan","nan"
"2","3","7","8","6","1","5","4","nan","nan"
"2","3","8","6","4","1","7","5","nan","nan"
"2","3","4","8","7","1","6","5","nan","nan"
"2","3","6","5","4","1","8","7","nan","nan"
"3","2","6","8","4","1","7","5","nan","nan"
"2","3","5","7","6","1","8","4","nan","nan"
"2","3","8","6","4","1","7","5","nan","nan"
"2","3","8","7","4","1","6","5","nan","nan"
"2","3","8","5","4","1","7","6","nan","nan"
"2","3","8","6","4","1","5","7","nan","nan"
"2","3","4","8","5","1","7","6","nan","nan"
"2","3","7","8","4","1","6","5","nan","nan"
"2","4","5","3","8","1","6","7","nan","nan"
"2","3","7","6","4","1","8","5","nan","nan"
"3","2","4","5","7","1","skipped","skipped","nan","nan"
"2","3","8","7","5","1","6","4","nan","nan"
"2","4","5","6","3","1","8","7","nan","nan"
"2","3","6","7","4","1","8","5","nan","nan"
"2","3","4","8","6","1","7","5","nan","nan"
"2","3","8","7","5","1","6","4","nan","nan"
"2","3","6","8","4","1","7","5","nan","nan"
"2","3","5","8","6","1","7","4","nan","nan"
"2","3","7","6","4","1","8","5","nan","nan"
"2","3","6","7","4","1","8","5","nan","nan"
"2","3","6","5","4","1","7","8","nan","nan"
"2","3","8","7","5","1","6","4","nan","nan"
"2","3","6","7","4","1","8","5","nan","nan"
"2","3","4","1","skipped","skipped","skipped","skipped","nan","nan"
"2","3","7","8","5","1","6","4","nan","nan"
"2","3","5","7","4","1","8","6","nan","nan"
"2","3","4","7","5","1","6","8","nan","nan"
"2","3","6","7","5","1","8","4","nan","nan"
"2","3","6","7","4","1","8","5","nan","nan"
"2","3","8","7","4","1","5","6","nan","nan"
"2","3","8","7","4","1","5","6","nan","nan"
"2","3","6","7","4","1","5","8","nan","nan"
"2","3","7","5","1","6","4","skipped","nan","nan"
"2","3","4","5","7","1","6","8","nan","nan"
"2","3","8","6","4","1","7","5","nan","nan"
"2","3","5","8","6","1","7","4","nan","nan"
"2","3","5","8","4","1","6","skipped","nan","nan"
"2","3","6","8","5","1","7","4","nan","nan"
"2","4","8","7","5","1","6","3","nan","nan"
"2","3","7","6","4","1","8","5","nan","nan"
"3","2","7","8","5","1","6","4","nan","nan"
"2","3","5","8","4","1","7","6","nan","nan"
"2","3","5","7","6","1","8","4","nan","nan"
"2","3","5","7","4","1","6","8","nan","nan"
"2","3","6","8","4","1","7","5","nan","nan"
"2","3","6","7","4","1","8","5","nan","nan"
"2","3","7","5","4","1","8","6","nan","nan"
"2","3","6","8","5","1","7","4","nan","nan"
"2","3","7","8","4","1","6","5","nan","nan"
"2","3","8","7","4","1","6","5","nan","nan"
"2","3","6","8","5","1","7","4","nan","nan"
"2","3","8","7","5","1","6","4","nan","nan"
"2","3","7","6","8","1","4","5","nan","nan"
"2","3","5","7","4","1","8","6","nan","nan"
"2","3","7","5","1","6","4","skipped","nan","nan"
"2","3","6","7","5","1","8","4","nan","nan"
"2","3","8","5","4","1","6","7","nan","nan"
"2","3","7","4","6","1","8","5","nan","nan"
"3","2","6","8","5","1","4","7","nan","nan"
"2","3","8","7","5","1","6","4","nan","nan"
"2","3","7","5","4","1","8","6","nan","nan"
"2","3","7","8","4","1","6","skipped","nan","nan"
