rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,numSeats,numCands
82,82,4,82,82,2,82,82,82,82,7,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,3,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,5,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,1,82,6,82,82,82,82,82,82,82,,
82,82,82,82,82,82,82,82,82,82,82,82,1,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,3,2,,
78,78,78,78,78,78,78,78,78,78,78,78,Skipped,78,78,78,78,78,78,78,82,78,81,5,3,78,78,78,78,78,78,80,8,78,78,Skipped,4,78,78,78,78,78,78,78,78,78,1,78,78,Skipped,78,78,78,78,Skipped,78,78,81,78,78,78,78,78,78,78,78,78,2,78,78,78,78,1,78,Skipped,78,6,78,78,78,78,79,,
82,82,82,82,82,82,82,82,82,82,82,1,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,4,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,3,82,82,82,5,82,82,82,82,82,82,82,82,82,82,82,2,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,1,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,
82,82,82,82,82,82,82,82,82,82,82,1,82,3,82,82,82,82,82,82,Skipped,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,
82,82,82,82,82,82,82,82,82,1,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,4,82,82,82,82,82,82,82,82,3,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2,82,82,82,82,82,82,82,82,82,,
82,82,82,82,64,2,82,82,82,17,82,82,82,82,82,82,82,82,82,82,82,82,79,4,68,82,82,82,82,10,82,82,82,3,82,82,63,82,6,13,82,82,69,82,1,82,12,82,82,82,82,82,82,77,82,82,82,82,82,82,82,82,82,82,82,82,8,1,82,82,4,69,82,82,82,82,8,82,11,82,82,6,,
82,82,82,82,82,2,2,82,1,82,82,82,82,82,82,82,82,82,82,82,82,82,82,3,82,82,82,3,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2,82,82,82,82,82,,
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2,82,82,82,82,82,82,3,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,1,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,
77,77,77,77,82,77,77,77,77,77,77,77,77,77,82,2,77,77,82,77,82,77,77,77,77,77,77,3,77,6,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,6,77,77,77,77,77,77,77,77,77,77,77,82,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1,77,77,77,,
82,3,82,82,82,82,2,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,1,82,,
