"rank1","rank2","rank3","rank4","rank5","Num Cands","Num Seats"
"2","3","5","1","4","5.0","1.0"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"2","5","1","skipped","skipped","nan","nan"
"2","4","3","5","1","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"3","5","4","1","2","nan","nan"
"4","3","2","1","5","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"3","2","4","1","5","nan","nan"
"2","1","5","4","3","nan","nan"
"2","4","3","5","1","nan","nan"
"3","4","2","1","5","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"1","3","2","4","5","nan","nan"
"3","2","5","1","4","nan","nan"
"1","5","4","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"2","4","3","5","1","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"2","3","5","1","4","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"1","5","skipped","skipped","skipped","nan","nan"
"1","5","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"3","5","1","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"1","5","skipped","skipped","skipped","nan","nan"
"1","2","5","3","4","nan","nan"
"1","3","2","4","5","nan","nan"
"5","4","3","2","1","nan","nan"
"2","5","3","4","1","nan","nan"
"4","1","3","2","5","nan","nan"
"3","4","2","5","1","nan","nan"
"4","1","5","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
