"rank1","rank2","rank3","rank4","rank5","Num Cands","Num Seats"
"5","1","skipped","skipped","skipped","5.0","1.0"
"4","5","2","1","skipped","nan","nan"
"3","1","2","5","4","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"1","4","2","5","3","nan","nan"
"5","4","3","1","2","nan","nan"
"3","2","1","5","4","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"1","2","3","5","4","nan","nan"
"1","4","5","2","3","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"2","4","1","3","5","nan","nan"
"1","2","3","4","5","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"2","3","4","1","5","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"1","2","4","5","3","nan","nan"
"1","5","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"2","1","3","4","5","nan","nan"
"1","5","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"1","3","5","4","2","nan","nan"
"5","4","1","2","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"2","4","5","skipped","skipped","nan","nan"
