"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","Num Cands","Num Seats"
"2","3","4","9","8","7","5","6","1","9.0","1.0"
"2","3","6","9","7","8","5","4","1","nan","nan"
"2","3","6","9","8","7","4","5","1","nan","nan"
"3","2","7","9","5","8","6","4","1","nan","nan"
"3","2","5","9","8","6","7","4","1","nan","nan"
"3","2","4","9","7","8","5","6","1","nan","nan"
"2","3","4","9","8","6","5","7","1","nan","nan"
"2","3","5","9","7","8","6","4","1","nan","nan"
"2","3","5","9","8","7","6","4","1","nan","nan"
"2","3","6","9","8","7","4","5","1","nan","nan"
"2","3","6","9","8","5","4","7","1","nan","nan"
"3","2","5","9","7","6","4","8","1","nan","nan"
"2","3","4","9","8","6","5","7","1","nan","nan"
"2","3","6","9","8","5","7","4","1","nan","nan"
"3","2","4","9","7","5","6","8","1","nan","nan"
"2","5","3","9","8","4","7","6","1","nan","nan"
"2","3","4","9","8","6","5","7","1","nan","nan"
"2","3","4","9","8","6","5","7","1","nan","nan"
"2","3","4","9","6","8","5","7","1","nan","nan"
"2","3","4","9","8","6","7","5","1","nan","nan"
"3","2","5","9","8","7","4","6","1","nan","nan"
"2","3","5","9","8","7","6","4","1","nan","nan"
"2","3","5","9","8","7","6","4","1","nan","nan"
"2","3","5","9","8","7","6","4","1","nan","nan"
"3","2","6","9","8","7","4","1","skipped","nan","nan"
"2","3","4","9","8","7","6","5","1","nan","nan"
"2","3","5","9","8","6","4","7","1","nan","nan"
"2","3","7","9","8","4","6","5","1","nan","nan"
"2","3","8","9","7","6","5","4","1","nan","nan"
"2","3","6","9","8","7","4","5","1","nan","nan"
"2","3","4","9","8","7","6","5","1","nan","nan"
"2","3","5","9","8","7","4","6","1","nan","nan"
"2","3","4","7","8","5","6","9","1","nan","nan"
"2","3","5","9","8","7","4","6","1","nan","nan"
"2","3","4","9","8","7","5","6","1","nan","nan"
"2","3","5","9","6","8","7","4","1","nan","nan"
"3","2","7","9","8","5","4","6","1","nan","nan"
"2","3","4","9","8","7","5","6","1","nan","nan"
"2","3","5","9","8","4","6","7","1","nan","nan"
"2","3","8","9","6","5","7","4","1","nan","nan"
"2","3","8","9","5","6","7","4","1","nan","nan"
"2","3","7","9","8","6","5","4","1","nan","nan"
"2","3","4","9","8","7","5","6","1","nan","nan"
"2","3","4","9","8","7","5","6","1","nan","nan"
"8","4","5","2","1","9","skipped","skipped","skipped","nan","nan"
"2","3","6","9","8","5","4","7","1","nan","nan"
"2","3","4","9","5","8","7","6","1","nan","nan"
"2","3","6","9","8","7","5","4","1","nan","nan"
"2","3","4","9","6","5","8","7","1","nan","nan"
"2","3","5","9","8","7","6","4","1","nan","nan"
"2","3","6","9","4","5","7","8","1","nan","nan"
"2","3","6","9","8","7","5","4","1","nan","nan"
"2","3","6","9","8","7","4","5","1","nan","nan"
"2","3","5","9","8","6","7","4","1","nan","nan"
"2","3","7","9","8","6","5","4","1","nan","nan"
"3","2","5","9","8","4","6","7","1","nan","nan"
"2","3","5","9","8","7","4","6","1","nan","nan"
"2","3","5","9","8","6","7","4","1","nan","nan"
"3","2","5","9","8","6","7","4","1","nan","nan"
"2","3","4","9","8","7","5","6","1","nan","nan"
"2","3","5","9","7","4","6","8","1","nan","nan"
"2","3","5","9","7","4","6","8","1","nan","nan"
"2","3","8","9","6","4","7","5","1","nan","nan"
"1","2","5","9","8","6","7","4","3","nan","nan"
"2","3","4","9","8","6","7","5","1","nan","nan"
"2","3","4","9","8","7","6","5","1","nan","nan"
"2","3","5","9","8","6","7","4","1","nan","nan"
"2","3","5","9","8","6","4","7","1","nan","nan"
"3","2","5","9","8","7","6","4","1","nan","nan"
"3","2","7","9","8","6","5","4","1","nan","nan"
"2","3","6","9","4","8","5","7","1","nan","nan"
"2","3","4","9","8","7","6","5","1","nan","nan"
"2","3","5","9","8","6","4","7","1","nan","nan"
"2","3","4","9","8","7","6","5","1","nan","nan"
"2","3","6","9","8","5","4","7","1","nan","nan"
"2","3","5","9","8","7","4","6","1","nan","nan"
"2","3","4","9","8","7","5","6","1","nan","nan"
"2","3","5","9","8","6","7","4","1","nan","nan"
"2","3","8","9","7","6","5","4","1","nan","nan"
"2","4","7","9","8","6","3","5","1","nan","nan"
"2","3","5","9","8","7","6","4","1","nan","nan"
"2","5","4","9","8","7","3","6","1","nan","nan"
"2","3","7","9","8","4","6","5","1","nan","nan"
"2","3","6","9","8","7","4","5","1","nan","nan"
"2","3","4","9","8","6","7","5","1","nan","nan"
"2","3","4","9","8","5","7","6","1","nan","nan"
"2","3","6","9","7","8","5","4","1","nan","nan"
"3","2","5","9","8","7","6","4","1","nan","nan"
"3","2","4","9","8","7","5","6","1","nan","nan"
"2","3","6","9","8","7","5","4","1","nan","nan"
"2","4","3","8","9","7","6","5","1","nan","nan"
"2","3","6","9","8","4","5","7","1","nan","nan"
"3","2","6","9","8","5","4","7","1","nan","nan"
"2","3","5","9","8","7","4","6","1","nan","nan"
"2","3","7","9","8","6","5","4","1","nan","nan"
"4","7","9","5","3","2","6","1","skipped","nan","nan"
"3","2","5","9","8","7","6","4","1","nan","nan"
"2","3","7","9","6","4","8","5","1","nan","nan"
"2","3","5","9","8","7","6","4","1","nan","nan"
"2","3","5","9","8","7","4","6","1","nan","nan"
"1","3","7","9","8","5","4","6","2","nan","nan"
"2","3","6","9","8","7","4","5","1","nan","nan"
