"rank1","rank2","rank3","rank4","rank5","rank6","Num Cands","Num Seats"
"1","6","skipped","skipped","skipped","skipped","6.0","1.0"
"5","6","3","1","2","skipped","nan","nan"
"1","6","skipped","skipped","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"5","2","6","4","1","3","nan","nan"
"1","6","2","3","skipped","skipped","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"5","1","4","6","3","2","nan","nan"
"5","4","3","6","1","2","nan","nan"
"1","6","2","skipped","skipped","skipped","nan","nan"
"2","6","1","skipped","skipped","skipped","nan","nan"
"1","6","5","skipped","skipped","skipped","nan","nan"
"3","5","6","1","4","2","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","2","5","4","3","1","nan","nan"
"5","3","4","6","1","2","nan","nan"
"6","2","1","skipped","skipped","skipped","nan","nan"
"6","3","1","2","skipped","skipped","nan","nan"
"2","6","5","4","1","3","nan","nan"
"4","3","5","6","1","2","nan","nan"
"4","1","6","3","2","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"3","1","4","6","5","2","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","3","2","5","1","4","nan","nan"
"6","1","5","2","skipped","skipped","nan","nan"
"3","4","6","2","5","skipped","nan","nan"
"1","3","4","5","2","6","nan","nan"
"3","2","6","4","1","5","nan","nan"
"6","4","5","1","2","3","nan","nan"
"3","4","6","1","5","2","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"4","5","6","1","3","2","nan","nan"
"6","1","5","4","3","2","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"4","5","6","1","3","2","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"2","6","1","3","skipped","skipped","nan","nan"
"6","3","1","2","skipped","skipped","nan","nan"
"6","2","1","skipped","skipped","skipped","nan","nan"
"6","3","5","4","2","1","nan","nan"
"1","6","3","2","skipped","skipped","nan","nan"
"6","2","1","skipped","skipped","skipped","nan","nan"
"6","1","2","5","skipped","skipped","nan","nan"
"6","2","5","4","3","1","nan","nan"
"3","1","5","6","2","4","nan","nan"
"1","6","4","skipped","skipped","skipped","nan","nan"
"6","3","1","2","skipped","skipped","nan","nan"
"4","6","1","3","2","skipped","nan","nan"
"2","6","1","skipped","skipped","skipped","nan","nan"
"2","4","5","1","6","skipped","nan","nan"
"3","2","6","1","4","5","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"3","5","6","1","4","2","nan","nan"
"4","6","5","3","1","2","nan","nan"
"6","3","1","2","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"5","1","6","skipped","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"1","4","2","6","3","5","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"2","3","5","6","4","1","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"3","1","2","6","4","5","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","2","1","skipped","skipped","skipped","nan","nan"
"6","5","1","3","4","2","nan","nan"
"3","5","6","1","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"5","1","4","3","2","6","nan","nan"
"5","6","4","3","2","1","nan","nan"
"2","4","3","6","5","1","nan","nan"
"2","6","5","3","1","4","nan","nan"
"2","1","6","skipped","skipped","skipped","nan","nan"
"1","3","6","5","2","4","nan","nan"
"2","4","1","6","3","5","nan","nan"
"3","5","6","1","2","skipped","nan","nan"
"5","3","6","4","2","1","nan","nan"
"2","3","5","6","4","1","nan","nan"
"4","5","6","1","3","2","nan","nan"
"1","3","6","2","4","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"2","6","1","skipped","skipped","skipped","nan","nan"
"6","2","5","4","3","1","nan","nan"
"6","2","1","skipped","skipped","skipped","nan","nan"
"2","6","1","3","skipped","skipped","nan","nan"
"1","6","5","2","4","3","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"6","1","3","2","skipped","skipped","nan","nan"
"5","1","6","2","skipped","skipped","nan","nan"
"1","6","3","2","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"1","5","3","6","2","skipped","nan","nan"
"1","3","4","6","5","2","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"3","4","6","5","1","2","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"1","2","3","6","5","4","nan","nan"
"6","3","4","1","2","skipped","nan","nan"
"4","3","6","5","2","1","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"4","1","5","2","3","6","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"5","4","2","6","1","3","nan","nan"
"6","1","2","3","skipped","skipped","nan","nan"
"6","3","4","1","2","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","1","5","4","2","3","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"5","1","4","6","3","2","nan","nan"
"4","6","5","1","2","3","nan","nan"
"2","3","5","6","4","1","nan","nan"
"1","6","2","skipped","skipped","skipped","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"2","6","1","skipped","skipped","skipped","nan","nan"
"1","4","6","2","5","3","nan","nan"
"3","6","5","2","4","1","nan","nan"
"1","3","6","4","2","skipped","nan","nan"
"1","2","3","6","4","5","nan","nan"
"1","3","6","5","2","4","nan","nan"
"6","4","5","3","2","1","nan","nan"
"4","3","5","6","1","2","nan","nan"
"2","6","1","3","skipped","skipped","nan","nan"
"3","6","4","2","5","1","nan","nan"
"6","5","4","1","3","2","nan","nan"
"6","2","5","1","3","4","nan","nan"
"3","4","2","1","5","6","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","1","2","5","3","4","nan","nan"
"6","2","1","skipped","skipped","skipped","nan","nan"
"6","1","skipped","skipped","skipped","skipped","nan","nan"
"6","1","2","skipped","skipped","skipped","nan","nan"
"5","6","4","2","3","1","nan","nan"
"5","1","4","6","2","3","nan","nan"
