"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","Num Cands","Num Seats"
"4","10","5","8","9","3","1","7","11","6","12","2","nan","nan"
"12","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","2","7","1","10","6","11","12","5","9","3","4","nan","nan"
"12","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","4","6","3","5","1","9","8","12","10","skipped","nan","nan"
"8","5","2","10","7","3","1","12","6","9","11","4","nan","nan"
"12","4","2","1","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","8","2","11","9","4","6","5","3","10","1","7","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","2","5","9","1","3","7","4","10","12","8","nan","nan"
"8","4","10","3","12","2","7","1","5","9","11","6","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","4","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","9","2","6","1","3","4","8","7","12","10","5","nan","nan"
"6","12","1","5","3","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","5","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","4","1","5","12","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","5","9","2","3","10","11","4","6","12","8","nan","nan"
"8","12","1","11","5","2","9","4","10","7","6","3","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","1","12","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","5","9","6","8","3","7","1","2","skipped","skipped","nan","nan"
"2","7","10","6","4","8","3","9","1","5","11","skipped","nan","nan"
"12","3","2","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","6","5","7","9","12","4","3","10","11","1","2","nan","nan"
"10","5","6","7","12","4","11","8","1","9","2","3","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","4","3","2","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","4","2","1","3","12","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","11","9","8","5","3","6","10","7","1","4","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","3","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","6","2","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","1","6","8","2","11","5","12","3","skipped","skipped","nan","nan"
"11","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","10","4","3","2","12","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","10","9","8","2","5","11","1","4","12","3","nan","nan"
"7","8","3","10","6","4","9","2","11","5","12","1","nan","nan"
"10","4","11","9","2","5","1","7","8","6","12","3","nan","nan"
"12","11","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","2","8","9","4","1","11","7","5","12","6","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","6","11","5","2","7","1","8","9","3","10","nan","nan"
"12","5","7","10","4","2","8","11","9","6","1","3","nan","nan"
"12","1","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","10","4","11","5","8","3","7","1","9","2","6","nan","nan"
"11","8","10","6","1","3","12","5","7","9","2","4","nan","nan"
"12","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","11","3","10","12","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","9","11","1","6","3","10","2","7","8","5","4","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","6","3","1","5","4","11","2","9","10","12","nan","nan"
"12","3","7","11","5","2","6","8","1","10","4","9","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","8","9","1","6","4","12","5","3","11","7","nan","nan"
"12","10","5","9","11","1","8","6","3","7","2","4","nan","nan"
"1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","7","10","2","6","1","9","5","11","4","8","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","4","2","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","11","6","12","3","10","1","5","7","2","4","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","4","1","2","3","7","8","5","skipped","skipped","skipped","nan","nan"
"11","1","10","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","9","8","5","1","2","3","6","7","10","4","nan","nan"
"9","2","10","8","11","1","7","6","5","3","12","4","nan","nan"
"11","6","1","3","4","2","12","8","7","5","skipped","skipped","nan","nan"
"3","1","9","10","8","5","7","12","6","4","11","2","nan","nan"
"10","7","5","9","3","2","1","11","6","8","12","4","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","12","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","10","8","6","5","12","4","2","3","9","7","nan","nan"
"12","5","4","11","2","1","3","8","9","10","6","7","nan","nan"
"10","4","3","8","1","11","12","2","skipped","skipped","skipped","skipped","nan","nan"
"11","7","2","9","1","8","6","5","4","12","10","3","nan","nan"
"10","3","7","11","6","4","1","9","5","8","12","2","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","12","7","8","2","1","11","5","10","6","3","nan","nan"
"10","5","1","11","12","6","2","7","4","3","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","2","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","3","10","1","12","4","11","6","2","5","skipped","skipped","nan","nan"
"12","6","5","2","4","7","1","3","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","12","3","8","2","6","11","1","5","7","9","nan","nan"
"9","10","1","7","6","4","2","11","8","5","12","3","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","4","5","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","11","2","6","3","5","1","12","4","7","10","9","nan","nan"
"12","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","7","10","4","11","2","3","9","6","12","1","nan","nan"
"10","1","11","8","7","9","2","3","4","5","12","6","nan","nan"
"8","3","10","6","4","2","9","1","5","12","7","skipped","nan","nan"
"6","8","7","3","10","2","11","9","5","4","12","1","nan","nan"
"4","12","5","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","4","8","3","2","11","7","10","5","12","1","nan","nan"
"12","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","6","2","5","7","1","4","skipped","skipped","skipped","skipped","nan","nan"
"12","1","4","2","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","3","2","1","11","5","12","skipped","skipped","skipped","skipped","nan","nan"
"5","9","4","10","3","7","12","8","6","1","2","skipped","nan","nan"
"11","7","12","8","1","2","3","4","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","1","8","10","2","5","3","6","11","9","7","nan","nan"
"10","8","4","3","1","11","9","12","2","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","6","11","10","1","5","9","7","8","12","4","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","12","10","3","6","8","1","2","7","11","5","4","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","3","1","12","7","5","2","6","skipped","skipped","skipped","skipped","nan","nan"
"12","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","7","8","4","6","5","12","9","11","3","2","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","4","11","3","10","5","7","2","8","12","9","nan","nan"
"4","12","11","10","3","6","7","1","2","5","9","8","nan","nan"
"8","6","12","10","3","5","1","4","2","11","7","9","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","7","5","6","4","9","12","11","8","2","1","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","8","11","4","3","1","5","10","2","6","9","7","nan","nan"
"5","7","9","3","10","2","8","6","4","11","12","1","nan","nan"
"12","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","11","9","10","4","5","3","7","2","6","1","8","nan","nan"
"12","1","5","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","4","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","7","1","5","9","3","8","12","11","10","4","2","nan","nan"
"3","5","10","6","9","2","1","4","8","7","12","11","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","7","6","2","5","4","11","8","10","12","3","nan","nan"
"1","11","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","2","10","1","4","3","7","6","11","8","9","nan","nan"
"10","3","7","8","5","6","12","1","11","9","2","4","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","6","2","1","10","7","12","5","4","11","3","nan","nan"
"12","4","3","6","2","1","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","8","6","9","7","5","11","4","2","10","3","1","nan","nan"
"12","6","3","10","9","1","7","5","8","11","4","2","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","4","3","1","5","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","3","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","3","8","11","7","4","12","5","1","2","9","6","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","6","10","7","2","3","1","12","4","8","5","skipped","nan","nan"
"3","9","10","11","4","1","7","12","5","6","8","2","nan","nan"
"3","12","4","1","5","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","11","6","5","12","8","7","1","9","2","10","3","nan","nan"
"10","5","9","7","4","2","3","11","6","8","12","1","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","2","1","3","10","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","9","4","12","10","3","8","1","5","11","2","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","10","3","5","2","1","11","7","9","12","8","nan","nan"
"9","10","3","4","11","2","7","6","1","12","5","skipped","nan","nan"
"11","12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","3","1","8","2","4","7","5","12","10","11","6","nan","nan"
"12","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","3","7","12","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","9","7","2","6","8","10","12","1","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","5","7","1","3","2","6","8","skipped","skipped","skipped","nan","nan"
"12","5","2","4","1","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","7","4","12","10","2","9","6","11","1","5","nan","nan"
"12","2","6","5","4","8","7","1","3","skipped","skipped","skipped","nan","nan"
"10","8","9","6","7","1","5","12","2","4","11","3","nan","nan"
"12","6","5","1","4","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","11","7","6","9","1","2","8","4","10","12","3","nan","nan"
"12","6","9","8","1","2","5","11","4","10","3","7","nan","nan"
"7","11","2","6","4","12","3","1","5","skipped","skipped","skipped","nan","nan"
"12","4","9","7","6","5","11","3","1","10","2","8","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","4","2","11","5","12","6","3","10","7","1","8","nan","nan"
"12","4","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","8","3","9","2","5","6","12","1","10","7","4","nan","nan"
"1","3","8","6","5","7","2","11","10","9","12","4","nan","nan"
"11","4","2","3","12","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","2","5","4","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","8","6","2","5","1","9","3","12","7","11","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","3","2","5","4","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","8","7","6","11","3","4","2","9","5","12","1","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","12","4","7","2","5","1","8","6","3","skipped","skipped","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","1","11","5","2","6","3","4","9","12","7","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","5","4","2","6","1","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","7","9","5","11","4","6","2","3","12","10","nan","nan"
"10","5","6","7","4","8","1","12","3","11","2","skipped","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","10","5","1","2","4","12","3","7","11","8","nan","nan"
"11","3","6","5","10","1","7","4","8","9","12","2","nan","nan"
"12","2","4","1","5","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","9","11","8","6","4","2","5","7","10","3","1","nan","nan"
"7","8","9","4","5","1","10","6","3","11","12","2","nan","nan"
"11","3","12","6","2","4","7","9","1","10","8","5","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","6","4","7","2","5","skipped","skipped","skipped","skipped","nan","nan"
"2","3","12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","1","4","7","3","2","11","5","8","12","9","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","4","5","2","3","1","12","6","8","skipped","skipped","nan","nan"
"5","10","2","3","12","4","7","6","8","9","1","11","nan","nan"
"12","4","5","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","6","4","7","8","2","5","skipped","skipped","skipped","nan","nan"
"4","7","2","10","1","11","5","12","6","9","8","3","nan","nan"
"1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","10","6","5","2","9","3","12","8","11","7","1","nan","nan"
"10","6","4","7","3","1","11","12","2","8","5","9","nan","nan"
"12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","7","8","6","9","3","10","2","1","12","5","skipped","nan","nan"
"11","8","4","7","9","2","1","10","5","6","12","3","nan","nan"
"4","5","7","8","2","12","1","11","6","9","10","3","nan","nan"
"12","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","4","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","2","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","9","3","8","1","2","4","10","5","6","12","7","nan","nan"
"7","9","10","3","5","2","1","11","4","8","12","6","nan","nan"
"11","12","1","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","9","7","2","4","11","6","3","5","12","8","nan","nan"
"8","1","2","7","9","4","6","11","3","10","12","5","nan","nan"
"12","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","10","3","11","8","4","1","12","7","9","5","skipped","nan","nan"
"10","2","7","9","8","4","1","5","11","3","12","6","nan","nan"
"8","6","5","7","1","2","4","3","skipped","skipped","skipped","skipped","nan","nan"
"12","6","4","2","1","3","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","8","4","9","12","11","3","6","10","2","1","nan","nan"
"2","7","5","11","10","6","1","4","8","9","12","3","nan","nan"
"10","4","3","9","2","1","7","6","5","11","12","8","nan","nan"
"12","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","9","1","8","7","4","5","12","6","3","2","skipped","nan","nan"
"1","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","1","8","7","3","2","12","10","6","11","5","nan","nan"
