"rank1","rank2","rank3","rank4","rank5","rank6","rank7","Num Cands","Num Seats"
"2","7","5","4","1","3","6","7.0","1.0"
"1","7","5","3","4","6","2","nan","nan"
"5","7","6","1","skipped","skipped","skipped","nan","nan"
"4","3","6","2","5","7","1","nan","nan"
"6","7","2","1","skipped","skipped","skipped","nan","nan"
"4","7","5","1","2","skipped","skipped","nan","nan"
"3","5","4","6","2","1","7","nan","nan"
"6","7","5","1","4","3","2","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","6","5","7","2","1","4","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","7","5","2","6","1","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","7","5","4","6","1","nan","nan"
"4","3","6","5","2","7","1","nan","nan"
"3","7","2","1","skipped","skipped","skipped","nan","nan"
"5","2","7","3","4","6","1","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","4","3","1","6","2","5","nan","nan"
"2","5","7","4","1","3","6","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","7","2","1","skipped","skipped","nan","nan"
"2","4","7","1","3","5","6","nan","nan"
"4","3","6","5","2","1","7","nan","nan"
"3","7","2","1","skipped","skipped","skipped","nan","nan"
"3","7","1","2","4","skipped","skipped","nan","nan"
"3","6","4","5","2","7","skipped","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","7","4","2","1","6","skipped","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","6","2","1","7","skipped","nan","nan"
"5","2","7","4","3","6","1","nan","nan"
"6","3","7","4","2","5","1","nan","nan"
"6","4","7","5","1","2","3","nan","nan"
"3","4","5","2","6","1","7","nan","nan"
"7","4","1","3","6","2","5","nan","nan"
"5","2","4","3","6","7","1","nan","nan"
"3","5","6","4","1","2","7","nan","nan"
"6","3","2","4","5","7","1","nan","nan"
"7","2","4","3","1","skipped","skipped","nan","nan"
"2","5","7","6","1","4","3","nan","nan"
"4","1","3","5","6","7","2","nan","nan"
"2","5","3","6","1","7","skipped","nan","nan"
"3","4","7","2","1","skipped","skipped","nan","nan"
"5","4","6","7","1","2","3","nan","nan"
"3","7","5","6","1","2","4","nan","nan"
"4","6","7","1","3","2","5","nan","nan"
"6","1","3","2","7","4","skipped","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","6","5","7","2","4","1","nan","nan"
