"rank1","rank2","rank3","rank4","Num Cands","Num Seats"
"2","1","4","3","4.0","1.0"
"2","3","4","1","nan","nan"
"1","4","3","2","nan","nan"
"2","4","3","1","nan","nan"
"2","3","4","1","nan","nan"
"2","3","4","1","nan","nan"
"3","1","4","2","nan","nan"
"4","2","3","1","nan","nan"
"4","2","3","1","nan","nan"
"4","2","3","1","nan","nan"
"1","4","3","2","nan","nan"
"4","1","3","2","nan","nan"
"1","3","4","2","nan","nan"
"4","3","2","1","nan","nan"
"1","4","2","3","nan","nan"
"2","3","4","1","nan","nan"
"3","4","2","1","nan","nan"
"4","2","3","1","nan","nan"
"3","4","2","1","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"1","4","3","2","nan","nan"
"1","3","2","4","nan","nan"
"4","1","3","2","nan","nan"
"2","3","4","1","nan","nan"
"2","3","1","4","nan","nan"
"4","3","2","1","nan","nan"
"2","3","4","1","nan","nan"
"4","2","3","1","nan","nan"
"3","2","4","1","nan","nan"
"2","4","3","1","nan","nan"
"4","2","3","1","nan","nan"
"2","3","4","1","nan","nan"
"4","1","3","2","nan","nan"
"2","3","4","1","nan","nan"
"3","2","4","1","nan","nan"
"1","2","4","3","nan","nan"
"4","2","3","1","nan","nan"
"4","2","3","1","nan","nan"
"3","2","4","1","nan","nan"
"2","3","4","1","nan","nan"
"4","3","2","1","nan","nan"
