"rank1","rank2","rank3","rank4","rank5","rank6","rank7","Num Cands","Num Seats"
"7","3","1","4","5","2","6","7.0","Unknown"
"5","7","1","2","skipped","skipped","skipped","nan","Unknown"
"4","2","1","5","6","7","3","nan","Unknown"
"6","7","3","1","4","2","skipped","nan","Unknown"
"3","2","1","7","4","skipped","skipped","nan","Unknown"
"6","7","1","4","2","5","3","nan","Unknown"
"2","7","1","3","4","skipped","skipped","nan","Unknown"
"1","7","2","6","4","5","3","nan","Unknown"
"7","6","5","2","3","1","4","nan","Unknown"
"5","7","1","3","4","2","6","nan","Unknown"
"1","5","2","3","6","7","4","nan","Unknown"
"4","1","2","6","5","7","3","nan","Unknown"
"2","4","1","6","5","3","skipped","nan","Unknown"
"2","5","3","4","7","1","6","nan","Unknown"
"6","7","2","5","3","4","1","nan","Unknown"
"6","7","5","4","2","1","3","nan","Unknown"
"1","2","3","5","4","7","6","nan","Unknown"
"6","2","1","5","4","3","7","nan","Unknown"
"2","7","1","5","4","6","3","nan","Unknown"
"6","1","7","3","4","2","5","nan","Unknown"
"7","6","2","3","4","1","5","nan","Unknown"
"5","2","1","7","3","6","4","nan","Unknown"
"3","7","4","5","2","6","1","nan","Unknown"
"6","7","4","5","1","3","2","nan","Unknown"
"2","3","1","5","4","skipped","skipped","nan","Unknown"
"1","4","2","5","7","3","6","nan","Unknown"
"5","6","1","7","3","2","4","nan","Unknown"
"7","6","5","4","3","1","2","nan","Unknown"
"2","4","1","7","3","skipped","skipped","nan","Unknown"
"6","7","3","4","2","5","1","nan","Unknown"
"3","2","1","6","5","7","4","nan","Unknown"
"2","5","3","1","7","4","6","nan","Unknown"
"4","3","5","7","2","1","skipped","nan","Unknown"
"7","3","2","5","1","skipped","skipped","nan","Unknown"
"3","7","4","5","2","6","1","nan","Unknown"
"3","4","1","2","7","6","5","nan","Unknown"
"3","7","4","5","2","6","1","nan","Unknown"
