file,candidate_cloned,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Rob Baker,7,['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Tonia Gladney,7,['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Sylvia L. Moore,7,['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Shenita Lloyd,7,['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Cardi DeMonaco Jr.,7,['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Michael Jones,7,['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)'],['Cardi DeMonaco Jr. (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",writein,6,['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Harvey Curley,6,['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Mary Hall-Rayford,6,['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Larry Edwards,6,['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)'],['Sarah A. Lucido (UNKNOWN)']
