voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
1,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
2,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
3,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
4,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
5,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
6,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
7,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
8,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
9,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
10,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
11,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
12,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
13,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
14,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
15,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
16,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
17,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
18,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
19,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
20,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
21,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
22,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
23,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
24,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
25,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
26,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
27,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
28,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
29,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
30,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
31,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
32,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
33,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
34,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
35,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
36,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
37,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
38,Alice SOPER (LD),skipped,skipped,skipped,skipped,skipped,,6
