rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
TAY GUDMUNDSON,CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,KEITH KUDER,2,7
ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,TAY GUDMUNDSON,KEITH KUDER,2,7
ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,2,7
ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,2,7
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,2,7
G. TYCE FLAKE,KEITH KUDER,skipped,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,2,7
KEITH KUDER,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,2,7
DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER,2,7
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
G. TYCE FLAKE,KEITH KUDER,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,2,7
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS,2,7
G. TYCE FLAKE,skipped,skipped,skipped,skipped,skipped,skipped,2,7
KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,2,7
CRISTY WELSH,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,ANTHONY JENKINS,2,7
G. TYCE FLAKE,DAVID LAURET,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,2,7
DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,ANTHONY JENKINS,2,7
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,KEITH KUDER,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,2,7
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped,2,7
G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,2,7
DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,2,7
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped,2,7
DAVID LAURET,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS,2,7
CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,ANTHONY JENKINS,2,7
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER,2,7
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped,2,7
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,TAY GUDMUNDSON,KEITH KUDER,2,7
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,G. TYCE FLAKE,KEITH KUDER,2,7
ANTHONY JENKINS,TAY GUDMUNDSON,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,skipped,skipped,2,7
G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,skipped,skipped,skipped,skipped,2,7
G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,2,7
G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,skipped,2,7
KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,skipped,skipped,skipped,2,7
CRISTY WELSH,DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,2,7
KEITH KUDER,DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,2,7
ANTHONY JENKINS,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,2,7
KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,skipped,skipped,skipped,2,7
CRISTY WELSH,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,DAVID LAURET,2,7
CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,DAVID LAURET,ANTHONY JENKINS,KEITH KUDER,2,7
KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,2,7
KEITH KUDER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
DAVID LAURET,KEITH KUDER,TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,2,7
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,TAY GUDMUNDSON,DAVID LAURET,KEITH KUDER,G. TYCE FLAKE,2,7
KEITH KUDER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,KEITH KUDER,2,7
KEITH KUDER,DAVID LAURET,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,2,7
CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,ANTHONY JENKINS,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,2,7
DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,2,7
G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,CRISTY WELSH,TAY GUDMUNDSON,DAVID LAURET,ANTHONY JENKINS,2,7
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped,skipped,2,7
TAY GUDMUNDSON,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped,2,7
DAVID LAURET,KEITH KUDER,G. TYCE FLAKE,TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,2,7
DAVID LAURET,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,skipped,skipped,2,7
TAY GUDMUNDSON,ANTHONY JENKINS,CRISTY WELSH,skipped,skipped,skipped,skipped,2,7
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,KEITH KUDER,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,2,7
G. TYCE FLAKE,CRISTY WELSH,DAVID LAURET,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
DAVID LAURET,G. TYCE FLAKE,ANTHONY JENKINS,KEITH KUDER,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,TAY GUDMUNDSON,2,7
ANTHONY JENKINS,CRISTY WELSH,G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER,2,7
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,2,7
HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,2,7
DAVID LAURET,KEITH KUDER,ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,2,7
G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,CRISTY WELSH,KEITH KUDER,ANTHONY JENKINS,skipped,2,7
DAVID LAURET,G. TYCE FLAKE,skipped,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,DAVID LAURET,TAY GUDMUNDSON,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER,2,7
G. TYCE FLAKE,DAVID LAURET,CRISTY WELSH,ANTHONY JENKINS,KEITH KUDER,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,2,7
DAVID LAURET,KEITH KUDER,G. TYCE FLAKE,CRISTY WELSH,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,2,7
CRISTY WELSH,TAY GUDMUNDSON,skipped,skipped,skipped,skipped,skipped,2,7
HECTOR RAFAEL HERNANDEZ,DAVID LAURET,G. TYCE FLAKE,CRISTY WELSH,KEITH KUDER,TAY GUDMUNDSON,ANTHONY JENKINS,2,7
HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,2,7
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER,2,7
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,TAY GUDMUNDSON,ANTHONY JENKINS,KEITH KUDER,2,7
KEITH KUDER,CRISTY WELSH,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,TAY GUDMUNDSON,skipped,2,7
KEITH KUDER,DAVID LAURET,CRISTY WELSH,TAY GUDMUNDSON,ANTHONY JENKINS,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,2,7
DAVID LAURET,TAY GUDMUNDSON,KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,2,7
CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,skipped,2,7
HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,KEITH KUDER,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,CRISTY WELSH,2,7
HECTOR RAFAEL HERNANDEZ,skipped,skipped,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,skipped,skipped,skipped,skipped,2,7
TAY GUDMUNDSON,CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,ANTHONY JENKINS,KEITH KUDER,G. TYCE FLAKE,DAVID LAURET,2,7
CRISTY WELSH,G. TYCE FLAKE,DAVID LAURET,skipped,skipped,skipped,skipped,2,7
G. TYCE FLAKE,skipped,skipped,skipped,skipped,skipped,skipped,2,7
G. TYCE FLAKE,DAVID LAURET,TAY GUDMUNDSON,KEITH KUDER,ANTHONY JENKINS,HECTOR RAFAEL HERNANDEZ,CRISTY WELSH,2,7
G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,DAVID LAURET,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
CRISTY WELSH,TAY GUDMUNDSON,G. TYCE FLAKE,skipped,skipped,skipped,skipped,2,7
DAVID LAURET,KEITH KUDER,G. TYCE FLAKE,CRISTY WELSH,ANTHONY JENKINS,TAY GUDMUNDSON,HECTOR RAFAEL HERNANDEZ,2,7
CRISTY WELSH,HECTOR RAFAEL HERNANDEZ,G. TYCE FLAKE,skipped,skipped,skipped,skipped,2,7
HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER,G. TYCE FLAKE,ANTHONY JENKINS,CRISTY WELSH,TAY GUDMUNDSON,2,7
HECTOR RAFAEL HERNANDEZ,DAVID LAURET,KEITH KUDER,CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,2,7
CRISTY WELSH,G. TYCE FLAKE,ANTHONY JENKINS,skipped,skipped,skipped,skipped,2,7
G. TYCE FLAKE,CRISTY WELSH,skipped,skipped,skipped,skipped,skipped,2,7
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
CRISTY WELSH,ANTHONY JENKINS,G. TYCE FLAKE,TAY GUDMUNDSON,DAVID LAURET,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,2,7
