Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
LE01,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,2,9
LE02,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,2,9
LE04,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE05,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,ETHAN M. ERICKSON,AARON BULLEN,2,9
LE06,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE07,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE08,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE09,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE10,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,2,9
LE11,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE12,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,2,9
LE13,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE14,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE15,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE16,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,2,9
LE17,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE18,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE19,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,2,9
LE21,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE22,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE23,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,2,9
LE24,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE25,CAMI PURTSCHERT,ETHAN M. ERICKSON,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,2,9
LE26,LORI MCINTOSH LE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE27,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE28,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE29,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,skipped,2,9
LE30,CHRIS CONDIE,AARON BULLEN,LORI MCINTOSH LE,PAUL HANCOCK,MICHELLE MILES,NICOLE KUNZE,ETHAN M. ERICKSON,MONTANE C HAMILTON,CAMI PURTSCHERT,2,9
LE31,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE32,CAMI PURTSCHERT,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,NICOLE KUNZE,skipped,skipped,skipped,2,9
LE33,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE34,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE35,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE36,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE37,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE38,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE39,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE40,CAMI PURTSCHERT,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,skipped,2,9
LE41,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,2,9
LE42,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
