rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num cands,Num seats
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Harding, Jr., Richard","Fantini, Alfred B.","Nolan, Patricia M.","Cronin, Fran Albin","Weinstein, David J.","Cisternino, Pia","Bowman, Manikka L.","Dexter, Emily R.","Crutchfield, Jake W.","Kadete, Elechi M.",12,6
"Harding, Jr., Richard","Kadete, Elechi M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Cronin, Fran Albin","Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Nolan, Patricia M.","Cisternino, Pia","Dexter, Emily R.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Kelly, Kathleen M.","Cronin, Fran Albin","Fantini, Alfred B.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,12,6
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kadete, Elechi M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Nolan, Patricia M.","Kadete, Elechi M.","Fantini, Alfred B.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Dexter, Emily R.","Bowman, Manikka L.","Kelly, Kathleen M.","Cisternino, Pia","Kadete, Elechi M.","Crutchfield, Jake W.","Harding, Jr., Richard","Cronin, Fran Albin",skipped,skipped,12,6
"Crutchfield, Jake W.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Weinstein, David J.","Crutchfield, Jake W.","Bowman, Manikka L.","Cronin, Fran Albin","Dexter, Emily R.","Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Kadete, Elechi M.","Crutchfield, Jake W.","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Cronin, Fran Albin","Weinstein, David J.","Nolan, Patricia M.","Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Fantini, Alfred B.","Kadete, Elechi M.","Cronin, Fran Albin","Harding, Jr., Richard","Kelly, Kathleen M.","Crutchfield, Jake W.","Weinstein, David J.","Bowman, Manikka L.","Dexter, Emily R.","Cisternino, Pia",12,6
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Cronin, Fran Albin","Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Crutchfield, Jake W.","Kadete, Elechi M.","Nolan, Patricia M.","Dexter, Emily R.",12,6
"Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Weinstein, David J.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Nolan, Patricia M.","Fantini, Alfred B.","Kadete, Elechi M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.",skipped,12,6
"Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Kelly, Kathleen M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia",12,6
"Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Bowman, Manikka L.",12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Cronin, Fran Albin","Cisternino, Pia","Dexter, Emily R.","Weinstein, David J.","Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Crutchfield, Jake W.","Kadete, Elechi M.","Bowman, Manikka L.",12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Dexter, Emily R.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Weinstein, David J.","Dexter, Emily R.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Crutchfield, Jake W.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.","Kelly, Kathleen M.","Cronin, Fran Albin","Dexter, Emily R.","Crutchfield, Jake W.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Cronin, Fran Albin","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Crutchfield, Jake W.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Bowman, Manikka L.","Crutchfield, Jake W.","Fantini, Alfred B.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Harding, Jr., Richard","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","Fantini, Alfred B.","Kelly, Kathleen M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Cronin, Fran Albin","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Crutchfield, Jake W.","Dexter, Emily R.",12,6
"Cronin, Fran Albin","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Bowman, Manikka L.","Weinstein, David J.","Cronin, Fran Albin","Kelly, Kathleen M.","Harding, Jr., Richard","Kadete, Elechi M.",skipped,skipped,skipped,skipped,12,6
"Kadete, Elechi M.","Kelly, Kathleen M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Kelly, Kathleen M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Bowman, Manikka L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kadete, Elechi M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Kadete, Elechi M.","Dexter, Emily R.","Harding, Jr., Richard","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Cronin, Fran Albin","Crutchfield, Jake W.","Cisternino, Pia","Dexter, Emily R.","Bowman, Manikka L.","Weinstein, David J.","Kadete, Elechi M.",skipped,skipped,skipped,12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Weinstein, David J.","Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Cronin, Fran Albin","Harding, Jr., Richard","Kadete, Elechi M.","Bowman, Manikka L.","Cisternino, Pia","Dexter, Emily R.","Crutchfield, Jake W.",12,6
"Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Nolan, Patricia M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Harding, Jr., Richard","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Dexter, Emily R.","Cronin, Fran Albin","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","Harding, Jr., Richard","Cronin, Fran Albin","Bowman, Manikka L.",skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.","Nolan, Patricia M.","Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Weinstein, David J.","Crutchfield, Jake W.","Bowman, Manikka L.","Cisternino, Pia","Dexter, Emily R.","Kadete, Elechi M.","Fantini, Alfred B.","Harding, Jr., Richard","Cronin, Fran Albin","Nolan, Patricia M.","Kelly, Kathleen M.",12,6
"Harding, Jr., Richard","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Weinstein, David J.","Nolan, Patricia M.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.","Cisternino, Pia","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Kadete, Elechi M.","Cronin, Fran Albin","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
"Nolan, Patricia M.","Kadete, Elechi M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,12,6
