,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,numSeats,numCands
0,Enrolment/NAMAV,Enrolment/NAMAV,3664,Formal,MP,BELL Robert,STRUTT Isabel,LEDGER Natasha,1,3
1,Enrolment/NAMAV,Enrolment/NAMAV,3665,Formal,MP,BELL Robert,skipped,skipped,1,3
2,Enrolment/NAMAV,Enrolment/NAMAV,3666,Formal,MP,BELL Robert,STRUTT Isabel,LEDGER Natasha,1,3
3,Enrolment/NAMAV,Enrolment/NAMAV,3667,Formal,MP,BELL Robert,skipped,skipped,1,3
4,Enrolment/NAMAV,Enrolment/NAMAV,3668,Formal,MP,BELL Robert,skipped,skipped,1,3
5,Enrolment/NAMAV,Enrolment/NAMAV,3669,Formal,MP,BELL Robert,skipped,skipped,1,3
6,Enrolment/NAMAV,Enrolment/NAMAV,3670,Formal,MP,BELL Robert,LEDGER Natasha,STRUTT Isabel,1,3
7,Enrolment/NAMAV,Enrolment/NAMAV,3671,Formal,MP,BELL Robert,skipped,skipped,1,3
8,Enrolment/NAMAV,Enrolment/NAMAV,3672,Formal,MP,BELL Robert,STRUTT Isabel,LEDGER Natasha,1,3
9,Enrolment/NAMAV,Enrolment/NAMAV,3673,Formal,MP,BELL Robert,skipped,skipped,1,3
10,Enrolment/NAMAV,Enrolment/NAMAV,3674,Formal,MP,BELL Robert,skipped,skipped,1,3
11,Enrolment/NAMAV,Enrolment/NAMAV,3675,Formal,MP,BELL Robert,skipped,skipped,1,3
12,Enrolment/NAMAV,Enrolment/NAMAV,3676,Formal,MP,BELL Robert,skipped,skipped,1,3
13,Enrolment/NAMAV,Enrolment/NAMAV,3677,Formal,MP,BELL Robert,skipped,skipped,1,3
14,Enrolment/NAMAV,Enrolment/NAMAV,3678,Formal,MP,BELL Robert,STRUTT Isabel,LEDGER Natasha,1,3
15,Enrolment/NAMAV,Enrolment/NAMAV,3679,Formal,MP,BELL Robert,LEDGER Natasha,STRUTT Isabel,1,3
16,Enrolment/NAMAV,Enrolment/NAMAV,3680,Formal,MP,BELL Robert,STRUTT Isabel,skipped,1,3
17,Enrolment/NAMAV,Enrolment/NAMAV,3681,Formal,MP,BELL Robert,STRUTT Isabel,LEDGER Natasha,1,3
18,Enrolment/NAMAV,Enrolment/NAMAV,3682,Formal,MP,BELL Robert,STRUTT Isabel,skipped,1,3
19,Enrolment/NAMAV,Enrolment/NAMAV,3683,Formal,MP,BELL Robert,STRUTT Isabel,skipped,1,3
20,Enrolment/NAMAV,Enrolment/NAMAV,3684,Formal,MP,BELL Robert,skipped,skipped,1,3
