precinct,rank1,rank2,rank3,Num cands,Num seats
MINNEAPOLIS W-13 P-13,Bob Fine,Jennifer Zielinski,"Robert M Schlosser ""Bob""",5,1
MINNEAPOLIS W-8 P-02,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-13 P-07,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-13 P-13,Brad Bourn,Bob Fine,skipped,5,1
MINNEAPOLIS W-8 P-02,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-13 P-05,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-10 P-06,Bob Fine,Jennifer Zielinski,Brad Bourn,5,1
MINNEAPOLIS W-10 P-05A,Brad Bourn,Bob Fine,Jennifer Zielinski,5,1
MINNEAPOLIS W-8 P-06,Brad Bourn,Bob Fine,"Robert M Schlosser ""Bob""",5,1
MINNEAPOLIS W-13 P-09,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-13 P-05,Jennifer Zielinski,Bob Fine,"Robert M Schlosser ""Bob""",5,1
MINNEAPOLIS W-13 P-09,Jennifer Zielinski,Bob Fine,skipped,5,1
MINNEAPOLIS W-13 P-03,Bob Fine,"Robert M Schlosser ""Bob""",Jennifer Zielinski,5,1
MINNEAPOLIS W-8 P-07,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-11 P-02,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-13 P-08,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-13 P-04,Jennifer Zielinski,skipped,skipped,5,1
MINNEAPOLIS W-11 P-03,Bob Fine,Brad Bourn,Jennifer Zielinski,5,1
MINNEAPOLIS W-13 P-10,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-8 P-07,Brad Bourn,writein,skipped,5,1
MINNEAPOLIS W-11 P-02,Bob Fine,Brad Bourn,skipped,5,1
MINNEAPOLIS W-8 P-06,Brad Bourn,Jennifer Zielinski,skipped,5,1
MINNEAPOLIS W-11 P-01,Bob Fine,Brad Bourn,Jennifer Zielinski,5,1
MINNEAPOLIS W-11 P-01,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-13 P-11,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-13 P-06,"Robert M Schlosser ""Bob""",Bob Fine,Brad Bourn,5,1
MINNEAPOLIS W-13 P-06,"Robert M Schlosser ""Bob""",Brad Bourn,Jennifer Zielinski,5,1
MINNEAPOLIS W-10 P-05A,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-11 P-02,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-11 P-02,Jennifer Zielinski,Bob Fine,Brad Bourn,5,1
MINNEAPOLIS W-11 P-02,Bob Fine,Brad Bourn,Jennifer Zielinski,5,1
MINNEAPOLIS W-10 P-04,Brad Bourn,Bob Fine,skipped,5,1
MINNEAPOLIS W-8 P-06,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob""",5,1
MINNEAPOLIS W-13 P-10,Bob Fine,"Robert M Schlosser ""Bob""",skipped,5,1
MINNEAPOLIS W-13 P-11,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-13 P-07,Bob Fine,Jennifer Zielinski,skipped,5,1
MINNEAPOLIS W-11 P-01,Brad Bourn,Jennifer Zielinski,Bob Fine,5,1
MINNEAPOLIS W-13 P-01,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-8 P-07,Bob Fine,Brad Bourn,Jennifer Zielinski,5,1
MINNEAPOLIS W-13 P-01,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-13 P-05,Brad Bourn,Bob Fine,skipped,5,1
MINNEAPOLIS W-13 P-12,Bob Fine,skipped,skipped,5,1
MINNEAPOLIS W-13 P-06,Bob Fine,Brad Bourn,skipped,5,1
MINNEAPOLIS W-13 P-11,Brad Bourn,skipped,skipped,5,1
MINNEAPOLIS W-13 P-12,Brad Bourn,skipped,skipped,5,1
