precinct,rank1,rank2,rank3,Num cands,Num seats
2001-03-02,writein,skipped,skipped,5,1
2001-03-09,writein,Allen Kathir,skipped,5,1
2001-03-03,Jeffery Cobia,writein,Diane Hofstede,5,1
2001-03-04,Jeffery Cobia,writein,Diane Hofstede,5,1
2001-03-05,Jeffery Cobia,writein,Diane Hofstede,5,1
2001-03-04,Jeffery Cobia,writein,Allen Kathir,5,1
2001-03-03,Jeffery Cobia,writein,Raymond Wilson Rolfe,5,1
2001-03-04,Jeffery Cobia,writein,Raymond Wilson Rolfe,5,1
2001-03-05,Jeffery Cobia,writein,Raymond Wilson Rolfe,5,1
2001-03-03,Jeffery Cobia,writein,skipped,5,1
2001-03-04,Jeffery Cobia,writein,skipped,5,1
2001-03-07,Jeffery Cobia,writein,skipped,5,1
2001-03-08,Jeffery Cobia,writein,skipped,5,1
2001-03-08,Jeffery Cobia,writein,skipped,5,1
2001-03-02,Jeffery Cobia,Diane Hofstede,writein,5,1
2001-03-04,Jeffery Cobia,Diane Hofstede,writein,5,1
2001-03-06,Jeffery Cobia,Diane Hofstede,writein,5,1
2001-03-06,Jeffery Cobia,Diane Hofstede,writein,5,1
2001-03-07,Jeffery Cobia,Diane Hofstede,writein,5,1
2001-03-01,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-02,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-03,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-06,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-07,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-08,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-09,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-09,Jeffery Cobia,Diane Hofstede,Allen Kathir,5,1
2001-03-02,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe,5,1
2001-03-03,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe,5,1
2001-03-05,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe,5,1
2001-03-05,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe,5,1
2001-03-07,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe,5,1
2001-03-07,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe,5,1
2001-03-08,Jeffery Cobia,Diane Hofstede,Raymond Wilson Rolfe,5,1
2001-03-02,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-02,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-03,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-04,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-04,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-04,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-04,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-05,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-07,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-07,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-08,Jeffery Cobia,Diane Hofstede,skipped,5,1
2001-03-07,Jeffery Cobia,Allen Kathir,writein,5,1
2001-03-07,Jeffery Cobia,Allen Kathir,writein,5,1
2001-03-02,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-03,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-04,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-04,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-05,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-06,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-07,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-08,Jeffery Cobia,Allen Kathir,Diane Hofstede,5,1
2001-03-03,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-03,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-04,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-04,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-05,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-05,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-05,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-06,Jeffery Cobia,Allen Kathir,Raymond Wilson Rolfe,5,1
2001-03-02,Jeffery Cobia,Allen Kathir,skipped,5,1
2001-03-02,Jeffery Cobia,Allen Kathir,skipped,5,1
2001-03-04,Jeffery Cobia,Allen Kathir,skipped,5,1
2001-03-05,Jeffery Cobia,Allen Kathir,skipped,5,1
2001-03-06,Jeffery Cobia,Allen Kathir,skipped,5,1
2001-03-07,Jeffery Cobia,Allen Kathir,skipped,5,1
2001-03-03,Jeffery Cobia,writein,skipped,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-01,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-03,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-05,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-07,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-07,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-09,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-09,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-01,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-03,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-03,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-03,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-06,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-07,Jeffery Cobia,Raymond Wilson Rolfe,Diane Hofstede,5,1
2001-03-05,Jeffery Cobia,Raymond Wilson Rolfe,writein,5,1
2001-03-02,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-03,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-04,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-05,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-05,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-09,Jeffery Cobia,Raymond Wilson Rolfe,Allen Kathir,5,1
2001-03-01,Jeffery Cobia,Raymond Wilson Rolfe,skipped,5,1
