voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
1,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
2,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
3,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
4,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
5,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
6,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
7,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
8,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
9,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
10,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
11,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
12,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
13,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
14,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
15,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
16,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
17,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
18,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
19,(Ind) Norman COLLIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,9
