voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
19,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Jill PATTLE (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Jill PATTLE (LD),Peter HEGGIE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Jill PATTLE (LD),Peter HEGGIE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Jill PATTLE (LD),Peter HEGGIE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Jill PATTLE (LD),Peter HEGGIE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Jill PATTLE (LD),Peter HEGGIE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
27,Jill PATTLE (LD),Peter HEGGIE (Con),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,skipped,,8
28,Jill PATTLE (LD),Peter HEGGIE (Con),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,skipped,,8
29,Jill PATTLE (LD),Peter HEGGIE (Con),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,skipped,,8
30,Jill PATTLE (LD),Peter HEGGIE (Con),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,skipped,,8
31,Jill PATTLE (LD),Peter HEGGIE (Con),Danny LOGUE (Lab),skipped,skipped,skipped,skipped,skipped,,8
32,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),skipped,skipped,skipped,skipped,skipped,,8
33,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),skipped,skipped,skipped,skipped,skipped,,8
34,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),skipped,skipped,skipped,skipped,skipped,,8
35,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),skipped,skipped,skipped,skipped,skipped,,8
36,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),Danny LOGUE (Lab),Peter Joseph Barrett Andrew JOHNSTON (SNP),skipped,skipped,skipped,,8
37,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),Danny LOGUE (Lab),Annmargaret WATSON (SNP),skipped,skipped,skipped,,8
38,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,,8
39,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,,8
40,Jill PATTLE (LD),Peter HEGGIE (Con),Danny LOGUE (Lab),skipped,skipped,skipped,skipped,skipped,,8
41,Jill PATTLE (LD),Peter HEGGIE (Con),Danny LOGUE (Lab),skipped,skipped,skipped,skipped,skipped,,8
42,Jill PATTLE (LD),Peter HEGGIE (Con),Lawrence FITZPATRICK (Lab),Jayne GLASS (Grn),skipped,skipped,skipped,skipped,,8
43,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,,8
44,Jill PATTLE (LD),Peter HEGGIE (Con),Moira SHEMILT (SNP),skipped,skipped,skipped,skipped,skipped,,8
45,Jill PATTLE (LD),Peter HEGGIE (Con),Peter Joseph Barrett Andrew JOHNSTON (SNP),skipped,skipped,skipped,skipped,skipped,,8
46,Jill PATTLE (LD),Peter HEGGIE (Con),Peter Joseph Barrett Andrew JOHNSTON (SNP),skipped,skipped,skipped,skipped,skipped,,8
47,Jill PATTLE (LD),Peter HEGGIE (Con),Jayne GLASS (Grn),Lawrence FITZPATRICK (Lab),Annmargaret WATSON (SNP),skipped,skipped,skipped,,8
48,Jill PATTLE (LD),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
49,Jill PATTLE (LD),Lawrence FITZPATRICK (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
50,Jill PATTLE (LD),Lawrence FITZPATRICK (Lab),Peter HEGGIE (Con),skipped,skipped,skipped,skipped,skipped,,8
51,Jill PATTLE (LD),Peter HEGGIE (Con),Danny LOGUE (Lab),skipped,skipped,skipped,skipped,skipped,,8
52,Jill PATTLE (LD),Lawrence FITZPATRICK (Lab),Peter HEGGIE (Con),Moira SHEMILT (SNP),Jayne GLASS (Grn),skipped,skipped,skipped,,8
53,Jill PATTLE (LD),Lawrence FITZPATRICK (Lab),Jayne GLASS (Grn),skipped,skipped,skipped,skipped,skipped,,8
