voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Ian BORTHWICK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Ian BORTHWICK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Ian BORTHWICK (Ind),Iliyan STEFANOV (LD),John ALEXANDER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
22,John ALEXANDER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,John ALEXANDER (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
