voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
1,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
2,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
3,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
4,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
5,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
6,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
7,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
8,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
9,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
10,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
11,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
12,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
13,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
14,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
15,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
16,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
17,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
18,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
19,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
20,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
21,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
22,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
23,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
24,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
25,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
26,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
27,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
28,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
29,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
30,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
31,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
32,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
33,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
34,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
35,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
36,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
37,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
38,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
39,"Bob ELLIS,SNP (SNP)",skipped,skipped,skipped,skipped,3,5
