precinct,rank1,rank2,rank3,numSeats,numCands
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-9 P-01,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-12 P-01,AK Hassan,Charles Exner,skipped,1,4
MINNEAPOLIS W-6 P-06,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-07,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-04,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-07,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-03,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-2 P-09,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-2 P-07,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-01,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-07,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-2 P-11,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-6 P-08,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-2 P-11,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-01,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-04,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-9 P-04,Charles Exner,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-08,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-2 P-01,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-6 P-07,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-6 P-05,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-02,Charles Exner,Abdi Gurhan Mohamed,AK Hassan,1,4
MINNEAPOLIS W-9 P-04,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-05,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-2 P-11,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-2 P-11,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-6 P-01,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-9 P-05,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-2 P-01,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-9 P-01,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-09,Charles Exner,AK Hassan,Abdi Gurhan Mohamed,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-09,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-2 P-01,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-01,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-2 P-11,Charles Exner,skipped,skipped,1,4
MINNEAPOLIS W-6 P-06,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-2 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-9 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-2 P-08,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-06,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-08,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-2 P-09,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-06,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-6 P-03,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-09,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-6 P-06,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-12 P-01,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,Charles Exner,skipped,1,4
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-06,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-01,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-6 P-03,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-9 P-05,Charles Exner,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-2 P-08,AK Hassan,Charles Exner,skipped,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-2 P-02,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-12 P-01,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,AK Hassan,skipped,1,4
MINNEAPOLIS W-6 P-08,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-9 P-04,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,Abdi Gurhan Mohamed,skipped,1,4
MINNEAPOLIS W-9 P-06,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-9 P-01,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-2 P-11,AK Hassan,Charles Exner,skipped,1,4
MINNEAPOLIS W-9 P-05,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,1,4
MINNEAPOLIS W-6 P-02,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-06,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-2 P-08,Abdi Gurhan Mohamed,Charles Exner,AK Hassan,1,4
MINNEAPOLIS W-6 P-02,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-12 P-01,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-9 P-09,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,AK Hassan,skipped,skipped,1,4
MINNEAPOLIS W-6 P-03,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
MINNEAPOLIS W-9 P-02,AK Hassan,Charles Exner,Abdi Gurhan Mohamed,1,4
MINNEAPOLIS W-2 P-07,Abdi Gurhan Mohamed,AK Hassan,Charles Exner,1,4
