rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
4,5,3,6,1,2,Unknown,6.0
1,2,5,3,4,6,Unknown,
2,1,6,6,4,3,Unknown,
2,5,6,4,1,3,Unknown,
6,6,6,6,1,1,Unknown,
6,1,4,3,2,5,Unknown,
2,4,5,3,6,1,Unknown,
5,4,1,1,2,6,Unknown,
1,1,2,2,2,2,Unknown,
3,6,6,2,1,6,Unknown,
6,3,2,6,1,6,Unknown,
1,2,5,3,6,1,Unknown,
4,3,1,5,6,2,Unknown,
3,2,1,5,4,6,Unknown,
5,6,2,3,5,1,Unknown,
4,3,1,6,2,5,Unknown,
2,1,6,5,4,3,Unknown,
1,2,4,3,6,5,Unknown,
3,4,2,5,1,6,Unknown,
3,2,5,4,1,6,Unknown,
5,1,6,3,3,2,Unknown,
3,2,5,4,1,6,Unknown,
4,2,3,5,1,6,Unknown,
3,2,5,4,6,1,Unknown,
6,2,6,3,1,4,Unknown,
1,2,6,6,6,6,Unknown,
4,2,6,3,5,1,Unknown,
4,3,5,3,2,1,Unknown,
1,3,6,5,2,4,Unknown,
1,2,4,4,3,2,Unknown,
4,2,6,3,5,1,Unknown,
2,4,6,3,3,1,Unknown,
1,3,5,6,2,4,Unknown,
3,2,1,4,6,5,Unknown,
5,3,6,4,1,2,Unknown,
6,1,5,2,3,6,Unknown,
4,1,2,5,6,3,Unknown,
6,6,6,6,1,6,Unknown,
