rank1,rank2,rank3,rank4,numSeats,numCands
2,3,4,1,Unknown,4.0
1,4,3,2,Unknown,
2,3,1,4,Unknown,
1,2,4,3,Unknown,
2,4,1,4,Unknown,
3,2,1,4,Unknown,
4,2,3,1,Unknown,
2,3,1,4,Unknown,
3,2,1,4,Unknown,
3,4,1,2,Unknown,
3,2,1,3,Unknown,
2,3,1,4,Unknown,
2,4,1,3,Unknown,
4,2,1,3,Unknown,
2,3,1,4,Unknown,
1,4,2,3,Unknown,
4,2,1,3,Unknown,
3,2,1,4,Unknown,
2,4,1,3,Unknown,
1,3,3,1,Unknown,
3,2,1,4,Unknown,
2,4,3,1,Unknown,
1,3,4,2,Unknown,
2,4,1,3,Unknown,
2,4,1,3,Unknown,
3,2,1,4,Unknown,
2,3,1,4,Unknown,
3,3,2,1,Unknown,
4,4,1,4,Unknown,
4,3,1,2,Unknown,
1,3,4,2,Unknown,
3,2,4,1,Unknown,
2,3,4,1,Unknown,
4,4,1,4,Unknown,
4,4,4,1,Unknown,
1,4,3,2,Unknown,
2,3,1,4,Unknown,
1,3,2,1,Unknown,
2,3,4,1,Unknown,
3,2,1,4,Unknown,
4,2,1,3,Unknown,
4,3,1,3,Unknown,
3,1,2,4,Unknown,
1,3,4,2,Unknown,
1,3,4,2,Unknown,
