rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
5,6,2,3,4,7,9,10,12,11,8,1,1.0,12.0
5,4,2,3,6,7,9,10,12,11,8,1,,
6,5,2,3,4,8,10,9,12,11,7,1,,
6,7,2,4,3,5,8,12,10,11,9,1,,
6,5,2,3,4,7,9,10,12,11,8,1,,
7,5,2,4,3,6,9,10,12,11,8,1,,
4,2,3,8,5,10,11,6,12,7,9,1,,
8,6,2,5,4,9,3,11,10,12,7,1,,
6,5,2,4,3,9,8,11,10,12,7,1,,
6,2,7,10,8,4,3,11,12,9,5,1,,
5,6,2,4,3,10,8,11,12,11,7,1,,
6,4,2,3,5,8,9,10,12,11,7,1,,
6,5,2,4,3,7,8,10,11,12,9,1,,
6,4,2,5,3,12,11,12,11,12,12,1,,
6,4,2,3,5,8,7,10,11,12,9,1,,
7,5,2,8,3,9,4,6,10,12,11,1,,
9,5,2,3,4,7,6,11,10,12,8,1,,
5,6,2,3,4,10,7,9,11,12,8,1,,
7,6,2,4,3,5,9,10,11,12,8,1,,
6,4,2,5,3,7,8,10,11,12,9,1,,
6,5,2,4,3,7,8,10,11,12,9,1,,
7,5,2,3,4,9,6,12,10,11,8,1,,
6,5,2,4,3,8,7,10,11,12,9,1,,
8,5,2,3,4,7,6,10,11,12,9,1,,
6,5,2,4,3,9,7,10,11,12,8,1,,
5,5,2,3,4,7,8,10,11,12,6,1,,
5,6,2,4,3,7,9,11,12,10,8,1,,
3,5,2,4,6,9,7,10,11,12,8,1,,
7,5,2,3,4,6,9,10,12,11,8,1,,
4,4,2,3,4,5,4,10,12,11,9,1,,
6,5,2,3,4,8,9,10,12,11,7,1,,
8,7,1,4,3,9,5,10,12,11,6,2,,
6,4,2,3,5,7,9,10,11,12,8,1,,
6,4,2,3,5,7,8,11,10,12,9,1,,
5,4,2,3,6,7,9,12,10,11,8,1,,
9,5,2,4,3,6,7,11,12,10,8,1,,
6,5,2,3,4,7,8,11,10,12,9,1,,
5,4,2,6,3,9,8,10,11,12,7,1,,
6,5,2,3,4,9,8,10,11,12,7,1,,
8,5,2,3,4,6,9,12,11,10,7,1,,
6,4,2,5,3,9,7,10,11,12,8,1,,
6,5,2,3,4,8,9,10,11,12,7,1,,
6,4,2,3,5,9,8,10,11,12,7,1,,
6,5,2,3,4,8,7,11,10,12,9,1,,
8,5,2,3,4,6,9,10,12,11,7,1,,
6,5,2,4,3,9,8,10,12,11,7,1,,
6,4,2,3,5,8,7,10,12,11,9,1,,
5,6,2,3,4,8,7,11,10,12,9,1,,
6,5,2,3,4,9,7,11,10,12,8,1,,
6,4,2,5,3,7,9,10,12,11,8,1,,
6,5,2,3,4,7,9,8,12,11,10,1,,
6,4,2,3,5,8,9,10,12,11,7,1,,
5,7,2,3,4,9,6,10,11,12,8,1,,
6,4,2,3,5,7,9,10,12,11,8,1,,
6,5,2,3,4,7,8,10,11,12,9,1,,
5,7,2,4,3,6,8,10,11,12,9,1,,
6,5,2,3,4,7,9,10,11,12,8,1,,
6,5,2,3,4,9,7,10,11,12,8,1,,
6,4,2,3,5,7,9,10,12,11,8,1,,
6,8,2,4,3,5,7,12,10,11,9,1,,
6,5,2,3,4,7,10,9,11,12,8,1,,
6,5,2,3,4,7,8,10,11,12,9,1,,
6,4,2,5,3,7,9,10,12,11,8,1,,
6,4,2,5,3,8,10,9,12,11,7,1,,
7,5,2,3,4,8,12,10,11,12,9,1,,
7,4,1,3,5,8,6,11,10,12,9,1,,
6,4,2,5,3,8,9,10,11,12,7,1,,
6,5,2,3,4,9,7,8,11,12,10,1,,
7,4,2,5,3,8,6,10,11,12,9,1,,
4,5,2,3,9,7,8,10,12,11,6,1,,
6,5,2,4,3,8,7,10,11,12,9,1,,
7,5,2,4,3,8,9,11,10,12,6,1,,
6,5,2,3,4,7,10,9,11,12,8,1,,
7,5,2,4,3,8,9,10,11,12,6,1,,
6,5,2,3,4,9,7,10,12,11,8,1,,
7,5,2,3,4,9,6,10,11,12,8,1,,
6,5,2,3,4,8,7,10,12,11,9,1,,
5,4,2,3,5,9,8,10,12,12,7,1,,
6,5,2,4,3,8,9,10,11,12,7,1,,
8,6,2,4,3,7,5,10,12,11,9,1,,
6,5,2,3,4,7,9,10,11,12,8,1,,
8,7,2,5,3,6,9,4,12,11,10,1,,
7,6,2,3,4,9,5,10,11,12,8,1,,
6,5,2,4,3,7,9,10,12,11,8,1,,
6,5,2,4,3,7,8,10,12,11,9,1,,
5,6,2,3,4,8,9,12,11,10,7,1,,
6,5,2,4,3,9,8,10,11,12,7,1,,
6,5,2,4,3,7,8,10,11,12,9,1,,
6,4,2,3,5,7,9,12,10,11,8,1,,
6,5,2,4,3,7,9,10,12,11,8,1,,
6,4,2,3,5,9,8,10,11,12,7,1,,
6,5,2,3,4,6,7,10,11,12,9,1,,
7,5,2,3,4,6,9,10,12,11,8,1,,
9,4,2,3,5,7,10,8,12,11,6,1,,
6,5,2,3,4,7,9,10,12,11,8,1,,
6,5,2,4,3,8,9,12,10,11,7,1,,
7,5,2,3,4,8,6,11,10,12,9,1,,
7,6,2,4,3,9,8,10,12,11,5,1,,
7,5,2,3,4,6,9,11,10,12,8,1,,
7,5,2,3,4,8,6,10,11,12,9,1,,
6,5,2,4,3,8,7,12,11,10,9,1,,
8,5,2,4,3,7,10,11,12,9,6,1,,
6,5,2,3,4,8,9,10,11,12,7,1,,
7,5,2,4,3,6,9,10,12,11,8,1,,
7,5,2,4,3,6,10,9,12,11,8,1,,
8,5,2,4,3,7,9,10,12,11,6,1,,
8,5,2,3,4,6,7,9,10,12,11,1,,
6,3,2,5,4,9,8,10,11,12,7,1,,
7,5,1,4,3,9,6,10,12,11,8,2,,
6,4,2,3,5,7,9,10,12,11,8,1,,
7,4,2,5,3,8,9,11,12,10,6,1,,
6,5,2,3,4,7,9,10,11,12,8,1,,
