13 1.0
1 3 5 7 1 4 12 13 2 6 11 9 8 10 0
1 4 6 7 3 1 10 13 2 11 8 12 9 5 0
1 4 10 5 6 1 7 13 2 3 11 12 8 9 0
1 5 3 2 7 1 8 10 6 11 13 9 12 4 0
1 5 11 4 1 3 8 13 6 2 12 9 7 10 0
1 6 5 2 1 4 12 13 3 11 7 10 9 8 0
1 6 12 1 3 9 8 13 4 2 10 11 5 7 0
1 7 1 3 5 6 8 10 4 2 9 12 13 11 0
1 7 2 6 8 4 1 13 3 5 11 12 9 10 0
1 8 1 4 3 2 5 13 9 6 12 10 7 11 0
1 8 4 5 2 3 9 12 6 1 13 7 0
1 8 6 3 1 12 7 13 2 4 10 5 11 9 0
1 8 13 10 5 3 9 7 0
1 8 13 11 3 5 7 10 0
1 9 1 4 6 5 12 13 7 8 2 11 3 10 0
1 9 1 8 7 2 6 13 3 4 11 12 5 10 0
1 9 2 1 4 3 12 13 11 7 6 10 8 5 0
1 9 3 1 7 11 4 13 10 6 12 8 2 5 0
1 9 4 6 5 3 1 12 7 10 8 2 13 11 0
1 9 4 13 3 5 10 12 8 1 7 11 2 6 0
1 9 6 1 2 4 11 13 12 3 8 10 5 7 0
1 9 6 3 1 2 8 13 4 5 7 11 10 12 0
1 9 7 3 2 1 11 10 6 5 12 13 8 4 0
1 9 7 6 2 1 4 13 8 5 11 12 10 3 0
1 9 11 2 3 1 13 12 6 4 7 10 8 5 0
1 9 11 8 2 1 12 13 3 4 5 10 6 7 0
1 10 3 4 1 8 7 13 11 2 9 12 5 6 0
1 10 4 7 2 3 8 13 6 1 11 12 9 5 0
1 10 6 11 5 1 7 13 3 2 9 12 8 4 0
1 10 7 11 5 1 6 13 3 2 9 12 8 4 0
1 10 9 11 12 13 5 2 4 1 8 3 6 7 0
1 11 1 3 7 2 9 13 5 4 12 10 6 8 0
1 11 2 1 5 3 9 13 4 6 10 12 8 7 0
1 11 2 5 1 3 10 12 9 6 8 13 7 4 0
1 12 6 4 1 2 8 13 3 5 9 11 7 10 0
1 12 10 4 2 7 9 13 5 1 6 11 8 3 0
1 12 10 6 7 1 3 13 5 2 11 9 8 4 0
1 13 4 1 3 2 0
0
1.0
2.0
3.0
4.0
5.0
6.0
7.0
8.0
9.0
10.0
11.0
12.0
13.0
