17 1.0
1 7 17 10 8 14 3 15 1 2 9 11 13 5 6 4 0
1 7 17 10 16 9 5 15 3 2 1 11 14 13 8 12 4 6 0
1 7 17 11 13 9 5 16 4 1 2 6 14 10 8 15 3 12 0
1 8 7 11 16 17 9 13 1 3 2 5 14 12 10 4 6 15 0
1 8 17 10 13 6 5 15 3 2 1 12 16 9 7 14 4 11 0
1 8 17 11 12 1 7 16 5 9 2 10 15 14 4 13 3 6 0
1 9 16 12 14 4 6 15 2 5 1 11 17 13 7 10 3 8 0
1 9 17 6 13 8 12 15 2 3 1 5 11 7 10 16 4 14 0
1 9 17 7 14 4 3 16 10 6 1 8 15 11 5 12 2 13 0
1 10 16 6 12 11 4 14 2 3 1 5 13 7 9 15 8 0
1 10 17 9 14 6 1 16 7 3 2 12 15 13 5 11 4 8 0
1 11 17 7 13 8 4 16 3 2 1 12 14 9 10 15 5 6 0
1 11 17 10 13 6 1 16 9 2 4 7 14 12 5 15 3 8 0
1 11 17 10 13 9 3 16 6 2 1 8 15 12 5 14 4 7 0
1 12 17 9 13 7 6 16 5 2 1 8 15 11 4 14 3 10 0
1 12 17 10 6 4 3 7 1 11 8 9 5 2 0
1 12 17 10 7 4 5 3 1 9 8 6 2 11 0
1 12 17 10 16 8 3 13 1 5 2 11 14 15 4 7 6 9 0
1 13 6 10 12 2 17 4 9 15 8 3 16 14 1 5 11 7 0
1 13 10 12 8 6 16 1 7 2 17 14 11 9 3 15 0
1 13 16 8 9 4 2 17 15 7 1 6 11 10 3 14 5 12 0
1 13 17 5 12 4 11 15 8 7 1 9 14 6 2 16 3 10 0
1 13 17 6 8 1 7 16 10 3 2 9 15 12 5 14 4 11 0
1 13 17 8 9 6 2 16 4 3 1 7 14 12 10 15 5 11 0
1 13 17 9 11 4 6 16 5 8 2 7 15 12 3 14 1 10 0
1 13 17 10 11 6 5 16 4 2 1 7 15 14 8 9 3 12 0
1 13 17 10 12 4 6 9 2 1 5 14 8 7 3 11 0
1 13 17 11 15 4 5 16 3 10 1 6 14 12 8 7 9 2 0
1 14 15 4 17 10 6 12 5 1 3 7 16 13 8 2 9 11 0
1 14 17 6 13 5 12 1 16 3 8 4 9 10 7 11 2 15 0
1 14 17 7 12 2 3 16 10 8 9 5 15 13 1 11 4 6 0
1 14 17 8 12 11 3 16 5 2 1 7 15 10 9 13 4 6 0
1 14 17 9 12 6 4 15 10 8 1 7 16 13 2 11 3 5 0
1 14 17 10 11 7 3 16 5 4 1 9 13 12 6 15 2 8 0
1 15 3 5 1 2 16 4 0
1 15 16 8 11 17 1 14 2 5 7 12 9 10 6 13 4 3 0
1 15 16 11 12 6 3 14 7 2 1 9 17 10 5 13 4 8 0
1 15 17 9 13 5 4 16 7 6 1 10 12 14 2 11 3 8 0
1 15 17 11 2 1 6 16 13 8 9 10 14 12 3 5 4 7 0
1 15 17 11 12 9 3 7 2 8 1 10 16 14 6 13 5 4 0
1 17 1 2 0
1 17 4 5 3 13 10 9 1 7 11 12 8 2 6 0
1 17 6 8 2 3 1 7 4 5 0
1 17 8 9 4 2 3 1 7 6 0
1 17 9 1 5 7 10 3 8 2 11 4 6 0
0
1.0
2.0
3.0
4.0
5.0
6.0
7.0
8.0
9.0
10.0
11.0
12.0
13.0
14.0
15.0
16.0
17.0
