10 1.0
2 2 3 1 7 0
3 2 3 1 10 7 0
1 2 3 10 1 7 0
4 2 5 1 0
5 2 5 1 8 10 0
1 2 5 1 10 0
1 2 5 1 10 8 0
4 2 5 8 1 10 0
1 2 5 10 1 8 0
1 2 6 1 7 0
1 2 6 7 1 8 0
2 2 6 8 1 7 0
1 3 2 1 10 7 0
1 3 2 7 1 0
3 3 2 7 1 10 0
1 3 2 10 1 7 0
1 3 5 1 9 0
6 3 5 1 9 10 0
1 3 5 9 1 0
6 3 5 9 1 10 0
1 3 5 9 10 1 0
2 3 6 1 9 7 0
1 3 6 9 1 7 0
6 4 2 7 0
1 4 2 8 7 0
1 4 2 8 7 10 0
1 4 2 8 10 0
2 4 2 8 10 7 0
1 4 2 10 8 7 0
1 4 3 7 9 0
1 4 3 9 7 0
1 4 3 9 7 10 0
1 4 3 9 10 7 0
2 4 5 0
2 4 5 8 9 10 0
1 4 5 8 10 9 0
1 4 5 9 8 0
1 4 5 9 8 10 0
1 4 5 9 10 8 0
1 4 5 10 0
1 4 5 10 9 8 0
1 4 6 8 7 0
4 4 6 8 9 7 0
1 4 6 9 7 8 0
1 4 6 9 8 7 0
7 5 2 1 0
1 5 2 8 1 10 0
1 5 2 8 10 1 0
4 5 3 1 9 0
3 5 3 9 1 0
2 5 4 0
1 5 6 1 0
2 6 2 1 7 8 0
1 6 2 1 8 7 0
3 6 2 7 1 8 0
1 6 3 1 0
2 6 3 1 9 7 0
2 6 5 1 8 9 0
1 6 5 1 9 8 0
1 6 5 8 1 9 0
1 6 5 9 1 0
1 6 5 9 1 8 0
1 6 5 9 8 1 0
0
1
2
3
1
5
4
5
3
2
4
