12 1.0
1 2 1 9 12 8 0
1 2 1 11 12 9 8 0
1 2 8 9 12 1 11 0
1 2 8 11 1 12 9 0
1 2 9 12 1 8 11 0
1 2 11 9 8 1 12 0
1 2 11 9 12 1 8 0
1 2 12 1 8 11 9 0
1 2 12 11 8 9 1 0
1 3 1 12 8 10 0
1 3 10 1 12 11 8 0
1 3 11 1 12 10 8 0
1 3 11 10 1 12 8 0
1 3 12 1 10 0
1 4 8 11 10 9 12 0
1 4 9 12 8 10 11 0
1 4 10 11 8 12 9 0
1 4 10 11 12 8 9 0
1 4 12 10 0
1 5 1 12 9 11 10 0
1 5 9 1 11 12 10 0
1 5 9 10 11 12 1 0
1 5 9 11 12 0
1 5 9 12 11 0
1 5 10 9 12 1 0
1 5 11 12 9 1 10 0
1 5 11 12 10 9 1 0
1 5 12 1 11 9 0
1 5 12 1 11 9 10 0
1 5 12 9 10 1 11 0
1 5 12 9 10 11 1 0
1 5 12 9 11 1 10 0
1 5 12 10 1 9 11 0
1 5 12 11 9 10 1 0
1 6 0
1 6 8 1 11 9 10 0
1 6 8 9 10 1 11 0
1 6 8 11 10 9 1 0
1 6 9 1 10 8 0
1 6 9 1 11 10 0
1 6 9 8 11 0
1 6 9 11 10 8 1 0
1 6 10 1 8 11 9 0
1 6 10 9 8 11 1 0
1 6 10 11 1 9 0
1 6 10 11 8 9 1 0
1 6 11 9 10 8 1 0
1 6 11 10 1 8 0
1 6 11 10 9 1 0
1 6 11 10 9 8 1 0
1 7 1 10 12 8 9 0
1 7 8 1 12 9 10 0
1 7 8 9 12 1 10 0
1 7 8 10 1 9 12 0
1 7 8 10 12 9 1 0
1 7 9 12 1 10 8 0
1 7 10 1 8 12 9 0
2 7 10 1 12 8 9 0
1 7 10 8 12 9 1 0
1 7 10 9 12 8 1 0
1 7 10 12 1 9 0
1 7 12 1 10 9 8 0
1 7 12 9 10 1 0
0
1
2
3
1
5
6
4
5
3
2
4
6
