10 1.0
20 1 7 0
1 1 7 8 0
3 1 7 8 9 0
2 1 7 8 9 10 0
1 1 7 8 10 0
3 1 7 9 0
1 1 7 9 8 0
1 1 7 9 8 10 0
1 1 7 9 10 8 0
7 1 7 10 8 9 0
1 1 7 10 9 0
9 1 7 10 9 8 0
2 1 8 7 9 0
9 1 8 7 9 10 0
1 1 8 7 10 9 0
2 1 8 9 10 7 0
1 1 8 10 7 0
1 1 8 10 7 9 0
2 1 8 10 9 7 0
4 1 9 7 0
3 1 9 7 8 10 0
3 1 9 7 10 8 0
1 1 9 8 7 10 0
1 1 9 8 10 7 0
3 1 9 10 7 8 0
1 1 9 10 8 7 0
2 1 10 7 0
1 1 10 7 8 0
7 1 10 7 8 9 0
7 1 10 7 9 8 0
1 1 10 8 7 9 0
1 1 10 8 9 7 0
1 3 2 7 9 0
3 3 2 7 9 10 0
2 3 2 7 10 9 0
4 3 2 9 7 0
2 3 2 9 7 10 0
1 3 2 9 10 7 0
4 3 2 10 9 7 0
1 3 7 2 9 0
2 3 7 2 9 10 0
1 3 7 9 2 0
2 3 7 9 2 10 0
1 3 7 10 2 9 0
1 3 9 2 7 0
2 3 9 2 7 10 0
3 3 9 2 10 7 0
2 3 9 7 10 2 0
3 3 9 10 2 7 0
1 3 10 2 7 9 0
1 3 10 2 9 7 0
1 3 10 7 0
1 3 10 7 2 9 0
1 3 10 7 9 2 0
2 4 2 7 0
1 4 2 7 8 9 0
4 4 2 7 9 8 0
1 4 2 8 7 9 0
1 4 2 8 9 7 0
1 4 2 9 8 7 0
1 4 7 2 0
1 4 7 2 9 8 0
2 4 7 8 2 9 0
1 4 7 8 9 2 0
2 4 7 9 2 8 0
1 4 7 9 8 2 0
1 4 8 2 7 9 0
1 4 8 2 9 7 0
1 4 8 9 2 7 0
1 4 9 2 7 0
4 4 9 2 7 8 0
4 4 9 7 2 8 0
1 4 9 7 8 2 0
1 4 9 8 2 7 0
1 5 0
69 5 2 0
1 5 2 8 9 0
1 5 2 8 9 10 0
11 5 2 9 0
1 5 2 9 8 0
1 5 2 9 8 10 0
1 5 2 9 10 0
3 5 2 9 10 8 0
1 5 2 10 8 9 0
1 5 2 10 9 0
1 5 2 10 9 8 0
2 5 8 2 10 9 0
1 5 8 9 2 0
1 5 8 9 2 10 0
8 5 9 2 0
1 5 9 2 8 0
1 5 9 2 8 10 0
4 5 9 2 10 8 0
1 5 9 8 2 0
1 5 9 8 2 10 0
3 6 2 7 0
3 6 2 7 8 10 0
4 6 2 7 10 8 0
1 6 2 8 7 10 0
2 6 2 10 7 8 0
1 6 2 10 8 7 0
2 6 7 2 0
1 6 7 2 8 0
2 6 7 2 8 10 0
3 6 7 2 10 8 0
1 6 7 8 2 0
3 6 7 8 2 10 0
3 6 7 10 2 0
1 6 7 10 2 8 0
1 6 7 10 8 2 0
1 6 8 2 7 0
1 6 8 2 7 10 0
7 6 8 2 10 7 0
1 6 8 7 2 0
6 6 8 7 2 10 0
1 6 8 7 10 2 0
1 6 8 10 7 2 0
1 6 10 2 8 7 0
5 6 10 7 2 8 0
1 6 10 7 8 0
1 6 10 7 8 2 0
3 6 10 8 2 7 0
1 6 10 8 7 2 0
0
1
1
3
4
5
2
5
3
2
4
