voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Lab,skipped,skipped,skipped,skipped,skipped,4,6
1,Lab,skipped,skipped,skipped,skipped,skipped,4,6
2,Lab,skipped,skipped,skipped,skipped,skipped,4,6
3,Lab,skipped,skipped,skipped,skipped,skipped,4,6
4,Lab,skipped,skipped,skipped,skipped,skipped,4,6
5,Lab,skipped,skipped,skipped,skipped,skipped,4,6
6,Lab,skipped,skipped,skipped,skipped,skipped,4,6
7,Lab,skipped,skipped,skipped,skipped,skipped,4,6
8,Lab,skipped,skipped,skipped,skipped,skipped,4,6
9,Lab,skipped,skipped,skipped,skipped,skipped,4,6
10,Lab,skipped,skipped,skipped,skipped,skipped,4,6
11,Lab,skipped,skipped,skipped,skipped,skipped,4,6
12,Lab,skipped,skipped,skipped,skipped,skipped,4,6
13,Lab,skipped,skipped,skipped,skipped,skipped,4,6
14,Lab,skipped,skipped,skipped,skipped,skipped,4,6
15,Lab,skipped,skipped,skipped,skipped,skipped,4,6
16,Lab,skipped,skipped,skipped,skipped,skipped,4,6
17,Lab,skipped,skipped,skipped,skipped,skipped,4,6
18,Lab,skipped,skipped,skipped,skipped,skipped,4,6
19,Lab,skipped,skipped,skipped,skipped,skipped,4,6
20,Lab,skipped,skipped,skipped,skipped,skipped,4,6
21,Lab,skipped,skipped,skipped,skipped,skipped,4,6
22,Lab,skipped,skipped,skipped,skipped,skipped,4,6
23,Lab,skipped,skipped,skipped,skipped,skipped,4,6
24,Lab,skipped,skipped,skipped,skipped,skipped,4,6
25,Lab,skipped,skipped,skipped,skipped,skipped,4,6
26,Lab,skipped,skipped,skipped,skipped,skipped,4,6
27,Lab,skipped,skipped,skipped,skipped,skipped,4,6
28,Lab,skipped,skipped,skipped,skipped,skipped,4,6
29,Lab,skipped,skipped,skipped,skipped,skipped,4,6
30,Lab,skipped,skipped,skipped,skipped,skipped,4,6
31,Lab,skipped,skipped,skipped,skipped,skipped,4,6
32,Lab,skipped,skipped,skipped,skipped,skipped,4,6
33,Lab,skipped,skipped,skipped,skipped,skipped,4,6
34,Lab,skipped,skipped,skipped,skipped,skipped,4,6
35,Lab,skipped,skipped,skipped,skipped,skipped,4,6
36,Lab,skipped,skipped,skipped,skipped,skipped,4,6
37,Lab,skipped,skipped,skipped,skipped,skipped,4,6
38,Lab,skipped,skipped,skipped,skipped,skipped,4,6
39,Lab,skipped,skipped,skipped,skipped,skipped,4,6
40,Lab,skipped,skipped,skipped,skipped,skipped,4,6
41,Lab,skipped,skipped,skipped,skipped,skipped,4,6
42,Lab,skipped,skipped,skipped,skipped,skipped,4,6
43,Lab,skipped,skipped,skipped,skipped,skipped,4,6
44,Lab,skipped,skipped,skipped,skipped,skipped,4,6
45,Lab,skipped,skipped,skipped,skipped,skipped,4,6
46,Lab,skipped,skipped,skipped,skipped,skipped,4,6
47,Lab,skipped,skipped,skipped,skipped,skipped,4,6
48,Lab,skipped,skipped,skipped,skipped,skipped,4,6
49,Lab,skipped,skipped,skipped,skipped,skipped,4,6
50,Lab,skipped,skipped,skipped,skipped,skipped,4,6
51,Lab,skipped,skipped,skipped,skipped,skipped,4,6
52,Lab,skipped,skipped,skipped,skipped,skipped,4,6
53,Lab,skipped,skipped,skipped,skipped,skipped,4,6
54,Lab,skipped,skipped,skipped,skipped,skipped,4,6
55,Lab,skipped,skipped,skipped,skipped,skipped,4,6
56,Lab,skipped,skipped,skipped,skipped,skipped,4,6
57,Lab,skipped,skipped,skipped,skipped,skipped,4,6
58,Lab,skipped,skipped,skipped,skipped,skipped,4,6
59,Lab,skipped,skipped,skipped,skipped,skipped,4,6
60,Lab,skipped,skipped,skipped,skipped,skipped,4,6
61,Lab,skipped,skipped,skipped,skipped,skipped,4,6
62,Lab,skipped,skipped,skipped,skipped,skipped,4,6
63,Lab,skipped,skipped,skipped,skipped,skipped,4,6
64,Lab,skipped,skipped,skipped,skipped,skipped,4,6
65,Lab,skipped,skipped,skipped,skipped,skipped,4,6
66,Lab,skipped,skipped,skipped,skipped,skipped,4,6
67,Lab,skipped,skipped,skipped,skipped,skipped,4,6
68,Lab,skipped,skipped,skipped,skipped,skipped,4,6
69,Lab,skipped,skipped,skipped,skipped,skipped,4,6
70,Lab,SNP,skipped,skipped,skipped,skipped,4,6
71,Lab,SNP,skipped,skipped,skipped,skipped,4,6
72,Lab,SNP,skipped,skipped,skipped,skipped,4,6
73,Lab,SNP,skipped,skipped,skipped,skipped,4,6
74,Lab,SNP,skipped,skipped,skipped,skipped,4,6
75,Lab,SNP,skipped,skipped,skipped,skipped,4,6
76,Lab,SNP,skipped,skipped,skipped,skipped,4,6
77,Lab,SNP,Con,skipped,skipped,skipped,4,6
78,Lab,SNP,Con,skipped,skipped,skipped,4,6
79,Lab,SNP,Con,skipped,skipped,skipped,4,6
80,Lab,SNP,Con,skipped,skipped,skipped,4,6
81,Lab,SNP,Con,skipped,skipped,skipped,4,6
82,Lab,SNP,Con,Robert MCKENDRICK (Ind),Lab,SNP,4,6
83,Lab,SNP,Con,Robert MCKENDRICK (Ind),Lab,SNP,4,6
84,Lab,SNP,Con,Robert MCKENDRICK (Ind),Lab,SNP,4,6
85,Lab,SNP,Con,Lab,SNP,skipped,4,6
86,Lab,SNP,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
87,Lab,SNP,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
88,Lab,SNP,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
89,Lab,SNP,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
90,Lab,SNP,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
91,Lab,SNP,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
92,Lab,SNP,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
93,Lab,SNP,Robert MCKENDRICK (Ind),Lab,Con,SNP,4,6
94,Lab,SNP,Robert MCKENDRICK (Ind),Lab,SNP,skipped,4,6
95,Lab,SNP,Lab,skipped,skipped,skipped,4,6
96,Lab,SNP,Lab,skipped,skipped,skipped,4,6
97,Lab,SNP,Lab,skipped,skipped,skipped,4,6
98,Lab,SNP,Lab,Robert MCKENDRICK (Ind),skipped,skipped,4,6
99,Lab,SNP,Lab,SNP,skipped,skipped,4,6
100,Lab,SNP,Lab,SNP,skipped,skipped,4,6
101,Lab,SNP,Lab,SNP,skipped,skipped,4,6
102,Lab,SNP,Lab,SNP,skipped,skipped,4,6
103,Lab,SNP,Lab,SNP,skipped,skipped,4,6
104,Lab,SNP,Lab,SNP,skipped,skipped,4,6
105,Lab,SNP,Lab,SNP,skipped,skipped,4,6
106,Lab,SNP,Lab,SNP,Con,Robert MCKENDRICK (Ind),4,6
107,Lab,SNP,Lab,SNP,Robert MCKENDRICK (Ind),Con,4,6
108,Lab,SNP,Lab,SNP,Robert MCKENDRICK (Ind),Con,4,6
109,Lab,SNP,SNP,skipped,skipped,skipped,4,6
110,Lab,SNP,SNP,skipped,skipped,skipped,4,6
111,Lab,SNP,SNP,skipped,skipped,skipped,4,6
112,Lab,SNP,SNP,skipped,skipped,skipped,4,6
113,Lab,SNP,SNP,skipped,skipped,skipped,4,6
114,Lab,SNP,SNP,Lab,skipped,skipped,4,6
115,Lab,SNP,SNP,Lab,skipped,skipped,4,6
116,Lab,SNP,SNP,Lab,skipped,skipped,4,6
117,Lab,SNP,SNP,Lab,Con,Robert MCKENDRICK (Ind),4,6
118,Lab,SNP,SNP,Lab,Robert MCKENDRICK (Ind),Con,4,6
119,Lab,Con,skipped,skipped,skipped,skipped,4,6
120,Lab,Con,skipped,skipped,skipped,skipped,4,6
121,Lab,Con,skipped,skipped,skipped,skipped,4,6
122,Lab,Con,skipped,skipped,skipped,skipped,4,6
123,Lab,Con,SNP,skipped,skipped,skipped,4,6
124,Lab,Con,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
125,Lab,Con,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
126,Lab,Con,Robert MCKENDRICK (Ind),skipped,skipped,skipped,4,6
127,Lab,Con,Robert MCKENDRICK (Ind),SNP,SNP,skipped,4,6
128,Lab,Con,Lab,skipped,skipped,skipped,4,6
129,Lab,Con,Lab,skipped,skipped,skipped,4,6
130,Lab,Con,Lab,skipped,skipped,skipped,4,6
131,Lab,Con,Lab,skipped,skipped,skipped,4,6
