file,candidate_cloned,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/SanFrancisco_11022010_BoardofSupervisorsDistrict6.csv,writein,16,['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM']
/SanFrancisco_11022010_BoardofSupervisorsDistrict6.csv,GEORGE VAZHAPPALLY,16,['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM']
/SanFrancisco_11022010_BoardofSupervisorsDistrict6.csv,GLENDON ''ANNA CONDA'' HYDE,16,['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM'],['JANE KIM']
/SanFrancisco_11082022_AssessorRecorder.csv,JOAQUÍN TORRES,2,['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES'],['JOAQUÍN TORRES']
/SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,writein,11,['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS']
/SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,RANDY KNOX,11,['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS']
/SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,JULIO RAMOS,11,['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS']
/SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,MARY GOODNATURE,11,['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS']
/SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,AHSHA SAFAI,11,['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['AHSHA SAFAI'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS']
/SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,ELI M. HORN,11,['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS'],['JOHN AVALOS']
