ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
92100_00102_000047,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000046,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn","Moe, Nick",skipped,1,3
92100_00102_000029,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000019,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000001,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000043,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000042,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn","Moe, Nick",skipped,1,3
92100_00102_000024,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn","Moe, Nick",skipped,1,3
92100_00102_000020,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick","Hall, Carolyn",skipped,1,3
92100_00102_000017,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000064,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick","Hall, Carolyn",skipped,1,3
92100_00102_000063,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000039,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000021,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000059,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000058,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000040,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000022,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000016,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000074,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000073,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000045,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick","Hall, Carolyn",skipped,1,3
92100_00102_000023,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick","Hall, Carolyn",skipped,1,3
92100_00102_000011,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000070,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000069,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000025,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn","Moe, Nick",skipped,1,3
92100_00102_000010,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000072,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000071,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000049,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000026,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000005,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Moe, Nick",skipped,skipped,1,3
92100_00102_000068,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000067,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
92100_00102_000044,Ballot 17 - Type 17,Absentee,Judicial 3,Judicial,District 16 - Absentee,District 16 - Absentee,Region II,"Hall, Carolyn",skipped,skipped,1,3
