voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
26,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Joe HENRY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
