rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
"Nolan, Patricia M.","Osborne, Mervan F.","Turkel, Alice L.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy","McGovern, Marc C.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Tauber, Nancy","Turkel, Alice L.","Nolan, Patricia M.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Forster, Bill","Gerber, Joyce C.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Fantini, Alfred B.","Tauber, Nancy","McGovern, Marc C.","Turkel, Alice L.","Nolan, Patricia M.","Harding, Jr., Richard","Gerber, Joyce C.","Forster, Bill","Stead, Sr., Charles Lewis",skipped,6,12
"McGovern, Marc C.","Nolan, Patricia M.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Harding, Jr., Richard","Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Forster, Bill","Gerber, Joyce C.","Holland, John J.","Osborne, Mervan F.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Forster, Bill","Gerber, Joyce C.","Osborne, Mervan F.","Turkel, Alice L.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Forster, Bill","Osborne, Mervan F.","Turkel, Alice L.","Holland, John J.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy","Harding, Jr., Richard","Holland, John J.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","McGovern, Marc C.","Osborne, Mervan F.","Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","McGovern, Marc C.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Nolan, Patricia M.","Osborne, Mervan F.","Forster, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Tauber, Nancy","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy","Harding, Jr., Richard","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Tauber, Nancy","Gerber, Joyce C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Forster, Bill","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Gerber, Joyce C.","Osborne, Mervan F.","Nolan, Patricia M.","McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,6,12
"Forster, Bill","Stead, Sr., Charles Lewis","Osborne, Mervan F.","Holland, John J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Forster, Bill","Stead, Sr., Charles Lewis","Osborne, Mervan F.","Holland, John J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Fantini, Alfred B.","Forster, Bill","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Nolan, Patricia M.","Tauber, Nancy","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Tauber, Nancy","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","McGovern, Marc C.","Tauber, Nancy","Nolan, Patricia M.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Tauber, Nancy","Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Harding, Jr., Richard","Gerber, Joyce C.","Stead, Sr., Charles Lewis","Tauber, Nancy","Forster, Bill","Fantini, Alfred B.","Turkel, Alice L.","Osborne, Mervan F.",skipped,skipped,6,12
"Nolan, Patricia M.","Gerber, Joyce C.","Holland, John J.","Osborne, Mervan F.","Tauber, Nancy","Harding, Jr., Richard","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Tauber, Nancy","Turkel, Alice L.","Harding, Jr., Richard","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Harding, Jr., Richard","Turkel, Alice L.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Tauber, Nancy","Gerber, Joyce C.","McGovern, Marc C.","Forster, Bill",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard","McGovern, Marc C.","Nolan, Patricia M.","Stead, Sr., Charles Lewis","Tauber, Nancy","Holland, John J.","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,6,12
"Harding, Jr., Richard","Nolan, Patricia M.","Stead, Sr., Charles Lewis",UWI,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
UWI,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Harding, Jr., Richard","Tauber, Nancy","Osborne, Mervan F.","Nolan, Patricia M.","Fantini, Alfred B.","Gerber, Joyce C.","McGovern, Marc C.",UWI,"Holland, John J.",skipped,6,12
"Forster, Bill","McGovern, Marc C.","Turkel, Alice L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Holland, John J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Tauber, Nancy","Turkel, Alice L.","Holland, John J.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Turkel, Alice L.","McGovern, Marc C.","Tauber, Nancy","Forster, Bill",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Nolan, Patricia M.","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Stead, Sr., Charles Lewis","Gerber, Joyce C.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Forster, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Holland, John J.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Holland, John J.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Turkel, Alice L.","Osborne, Mervan F.","McGovern, Marc C.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Forster, Bill","Gerber, Joyce C.","Holland, John J.","Osborne, Mervan F.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard","Nolan, Patricia M.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","McGovern, Marc C.","Fantini, Alfred B.","Tauber, Nancy","Turkel, Alice L.","Harding, Jr., Richard","Nolan, Patricia M.",skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Osborne, Mervan F.","McGovern, Marc C.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Stead, Sr., Charles Lewis","Holland, John J.","Harding, Jr., Richard","Turkel, Alice L.",skipped,6,12
"Nolan, Patricia M.","Tauber, Nancy","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard","Gerber, Joyce C.","Forster, Bill","Stead, Sr., Charles Lewis","Osborne, Mervan F.","McGovern, Marc C.","Holland, John J.",6,12
"Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","Nolan, Patricia M.","McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","Turkel, Alice L.","Tauber, Nancy","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Harding, Jr., Richard","Tauber, Nancy","McGovern, Marc C.","Fantini, Alfred B.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Harding, Jr., Richard","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",6,12
"Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,6,12
"Gerber, Joyce C.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Turkel, Alice L.","Tauber, Nancy","Forster, Bill","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard","Nolan, Patricia M.","Forster, Bill","Fantini, Alfred B.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Holland, John J.","McGovern, Marc C.","Tauber, Nancy","Harding, Jr., Richard","Forster, Bill","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard","Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Gerber, Joyce C.","Forster, Bill","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Gerber, Joyce C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Fantini, Alfred B.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Forster, Bill","Gerber, Joyce C.","Holland, John J.",6,12
"Nolan, Patricia M.","Gerber, Joyce C.","Forster, Bill","Fantini, Alfred B.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Holland, John J.","Nolan, Patricia M.","McGovern, Marc C.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Fantini, Alfred B.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Gerber, Joyce C.","Forster, Bill","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Gerber, Joyce C.","Forster, Bill","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Gerber, Joyce C.","Forster, Bill","Holland, John J.","Osborne, Mervan F.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","McGovern, Marc C.","Harding, Jr., Richard","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Tauber, Nancy","Nolan, Patricia M.","Fantini, Alfred B.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Gerber, Joyce C.","Fantini, Alfred B.","Harding, Jr., Richard","Osborne, Mervan F.","Forster, Bill",skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard","Fantini, Alfred B.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Turkel, Alice L.","McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Fantini, Alfred B.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Tauber, Nancy","McGovern, Marc C.","Gerber, Joyce C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Tauber, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Forster, Bill","Nolan, Patricia M.","Harding, Jr., Richard","Fantini, Alfred B.","Tauber, Nancy","Turkel, Alice L.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Tauber, Nancy","Harding, Jr., Richard","Fantini, Alfred B.","Turkel, Alice L.","Osborne, Mervan F.","McGovern, Marc C.",skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Forster, Bill","Nolan, Patricia M.","McGovern, Marc C.","Holland, John J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Nolan, Patricia M.","Fantini, Alfred B.","Tauber, Nancy","Harding, Jr., Richard","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","McGovern, Marc C.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Nolan, Patricia M.","Gerber, Joyce C.","Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B.","Stead, Sr., Charles Lewis","McGovern, Marc C.","Holland, John J.","Forster, Bill","Harding, Jr., Richard",6,12
"Tauber, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Osborne, Mervan F.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Holland, John J.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Nolan, Patricia M.","Fantini, Alfred B.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Harding, Jr., Richard","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","McGovern, Marc C.","Harding, Jr., Richard","Stead, Sr., Charles Lewis","Turkel, Alice L.","Osborne, Mervan F.","Nolan, Patricia M.","Gerber, Joyce C.","Tauber, Nancy","Holland, John J.","Forster, Bill",6,12
"Tauber, Nancy","Turkel, Alice L.","Gerber, Joyce C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Turkel, Alice L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","Gerber, Joyce C.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Holland, John J.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.","Nolan, Patricia M.","Turkel, Alice L.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,6,12
"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"McGovern, Marc C.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.","McGovern, Marc C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Osborne, Mervan F.","Turkel, Alice L.","Stead, Sr., Charles Lewis","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,6,12
