voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
1,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
2,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
3,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
4,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
5,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
6,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
7,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
8,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
9,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
10,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
11,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
12,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
13,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
14,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
15,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
16,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
17,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
18,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
19,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
20,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
21,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
22,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
23,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
24,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
25,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,8
26,SNP,SNP,skipped,skipped,skipped,skipped,skipped,skipped,4,8
