20 1.0
1 1 3 13 15 4 10 5 20 2 9 8 14 19 11 6 12 16 7 0
1 1 7 20 5 2 10 4 9 8 13 15 11 3 6 12 0
1 2 3 10 19 4 13 6 16 7 15 1 14 18 20 9 8 12 17 5 11 0
1 2 6 13 14 5 7 4 17 9 19 8 12 20 3 15 1 18 16 10 11 0
1 2 7 8 11 15 13 3 18 4 17 5 9 16 20 19 6 14 1 12 0
1 2 8 5 14 6 17 1 19 3 15 9 13 20 18 16 12 10 7 4 11 0
1 2 10 4 17 1 15 5 19 3 6 16 14 13 12 20 11 9 18 8 7 0
1 2 14 4 9 7 15 5 18 13 11 1 17 20 19 16 3 6 12 10 8 0
1 3 4 6 8 1 11 17 20 5 12 13 10 19 16 14 18 9 7 2 15 0
1 3 5 10 16 1 18 4 20 11 7 9 14 8 13 12 15 6 19 17 2 0
1 3 6 11 7 2 10 15 1 4 8 9 14 13 12 5 0
1 3 13 20 18 2 12 6 10 7 1 5 9 8 16 19 15 17 14 4 11 0
1 3 14 2 13 4 15 1 20 6 9 11 12 18 16 19 7 17 5 8 10 0
1 4 6 18 14 10 3 7 20 1 13 9 2 15 5 19 16 17 11 12 8 0
1 4 7 2 15 10 13 8 19 1 5 9 16 3 17 20 12 11 6 14 18 0
1 4 9 7 14 1 12 3 20 6 15 16 19 11 10 18 5 2 13 8 17 0
1 4 9 12 16 1 10 3 13 8 14 5 11 20 17 18 19 7 15 6 2 0
1 4 15 2 13 5 14 1 20 6 7 10 8 3 16 18 9 11 17 19 12 0
1 5 4 1 6 3 7 18 20 9 14 16 12 2 17 19 15 13 10 11 8 0
1 5 10 6 15 8 17 1 20 2 3 11 13 14 12 19 16 7 9 4 18 0
1 5 18 2 4 6 3 20 19 9 8 7 1 0
1 6 2 19 7 1 8 15 12 3 4 13 9 16 14 17 11 20 10 5 18 0
1 6 4 20 15 11 2 5 19 1 12 13 3 18 7 16 14 17 9 8 10 0
1 6 5 4 15 14 13 1 20 2 10 7 12 17 3 19 18 16 9 8 11 0
1 6 11 8 17 2 16 9 20 12 7 5 14 13 15 18 19 10 3 4 1 0
1 7 5 4 14 2 17 13 20 12 1 15 16 3 9 19 10 8 18 6 11 0
1 7 9 14 17 2 13 1 20 6 15 4 12 19 10 18 16 3 11 5 8 0
1 7 15 3 16 9 14 2 20 17 6 10 12 4 19 18 8 1 13 11 5 0
1 8 4 2 19 3 17 11 20 5 1 10 14 9 15 16 13 18 6 12 0
1 8 4 15 11 3 12 1 10 5 6 7 14 18 20 19 17 16 9 2 13 0
1 8 9 12 5 6 11 7 15 1 2 14 10 16 19 20 17 13 3 4 18 0
1 8 12 5 17 4 10 2 18 16 3 11 13 1 14 19 7 15 20 9 6 0
1 8 20 13 11 4 12 6 19 2 18 10 7 17 1 15 5 14 16 9 3 0
1 9 15 6 11 3 20 10 7 4 1 18 16 17 14 13 19 12 8 2 5 0
1 11 10 4 14 1 12 17 20 7 5 9 8 18 13 15 16 6 19 3 2 0
1 11 14 9 6 4 16 12 18 2 5 13 17 3 15 19 20 10 7 1 8 0
1 12 7 19 6 8 4 3 14 1 11 10 9 20 15 17 13 18 16 2 5 0
1 12 14 7 10 3 20 4 17 11 1 2 15 16 8 13 5 6 9 0
1 13 3 16 10 1 9 14 20 2 7 17 8 18 4 19 12 15 5 6 11 0
1 13 10 16 6 1 7 14 20 2 4 15 8 9 17 19 12 11 5 3 18 0
1 13 20 1 8 2 11 9 5 6 10 12 7 3 4 0
1 15 10 17 13 4 8 3 19 1 16 12 9 20 2 18 6 14 5 7 11 0
1 16 11 4 6 1 18 19 20 5 8 13 12 2 15 17 14 9 7 3 10 0
1 17 14 7 9 5 11 2 19 16 15 4 13 1 12 18 10 20 8 3 6 0
1 19 3 1 6 20 2 5 4 0
2 20 0
1 20 1 0
1 20 3 8 1 4 2 5 9 7 0
1 20 7 2 5 1 3 6 4 0
0
1.0
2.0
3.0
4.0
5.0
6.0
7.0
8.0
9.0
10.0
11.0
12.0
13.0
14.0
15.0
16.0
17.0
18.0
19.0
20.0
