20 1.0
1 3 6 12 1 13 19 17 10 2 14 5 4 18 20 11 8 9 16 7 15 0
1 3 10 5 2 9 14 17 1 20 8 13 12 6 11 15 19 18 4 7 16 0
1 3 10 11 1 2 18 20 16 17 7 12 19 14 6 5 8 13 4 9 15 0
1 4 9 6 3 7 14 11 5 1 19 16 15 8 10 2 12 17 20 13 18 0
1 4 16 15 2 8 5 7 12 3 20 6 10 1 11 19 9 18 13 17 14 0
1 5 9 19 1 10 7 6 4 18 8 14 3 2 20 15 17 16 12 13 11 0
1 5 17 12 4 3 18 2 9 7 1 16 15 11 20 6 19 14 13 8 10 0
1 6 4 13 1 10 14 8 12 2 3 7 20 15 19 5 11 16 9 0
1 6 8 13 1 7 20 18 19 2 4 17 16 9 3 14 5 12 11 15 10 0
1 6 9 15 3 1 5 17 7 2 11 16 18 20 14 13 4 10 19 12 8 0
1 6 16 13 3 4 18 2 8 9 1 17 15 10 19 5 20 14 12 7 11 0
1 7 3 15 1 18 12 10 8 4 16 19 2 6 9 11 17 20 13 5 14 0
1 7 14 20 3 1 10 18 8 2 11 16 6 19 4 5 9 12 15 17 0
1 7 17 20 1 3 16 6 14 8 5 15 11 4 9 13 18 19 10 12 2 0
1 7 20 10 15 8 16 19 6 9 1 14 18 17 4 12 2 5 3 11 13 0
1 8 3 9 1 17 11 16 7 4 2 10 15 18 6 20 12 13 14 5 19 0
1 8 10 17 3 1 12 9 16 2 6 18 7 20 11 15 5 13 19 14 4 0
1 8 15 17 2 6 13 3 14 10 5 19 9 12 20 7 1 4 18 11 0
1 9 6 17 1 3 15 18 16 2 5 19 13 7 4 12 14 10 11 8 20 0
1 9 7 18 1 11 17 20 6 2 15 5 4 14 16 19 3 8 10 13 12 0
1 9 8 18 11 14 5 7 4 1 10 19 13 17 12 16 3 2 6 15 20 0
1 9 10 20 11 1 3 0
1 10 6 14 2 8 9 11 13 1 4 18 7 5 12 17 20 19 15 16 3 0
1 11 8 17 1 3 7 16 6 2 10 20 4 9 14 19 13 18 15 5 12 0
1 11 8 18 1 17 12 3 4 15 5 19 10 16 20 14 7 6 2 9 13 0
1 11 10 9 2 15 17 7 6 16 5 1 4 18 8 3 14 12 13 0
1 12 3 13 1 5 17 7 10 9 6 14 8 20 4 11 2 16 18 15 19 0
1 12 5 10 1 2 13 9 17 7 15 20 3 16 14 8 4 11 19 6 18 0
1 12 9 13 3 1 18 15 17 14 2 8 16 20 4 6 7 5 10 11 19 0
1 14 9 16 1 4 13 5 8 2 6 7 15 20 11 12 3 18 19 10 17 0
1 15 14 17 3 1 10 6 13 4 2 20 11 9 16 5 18 19 12 7 8 0
1 17 1 15 7 11 10 5 14 12 18 19 8 3 4 6 20 13 9 2 16 0
1 17 20 2 8 18 9 7 1 11 12 14 3 13 4 16 15 10 6 19 5 0
1 18 4 20 1 3 16 14 13 7 2 17 15 12 10 9 5 19 6 8 11 0
1 18 12 20 1 17 15 7 4 2 16 19 11 13 14 8 6 3 5 10 9 0
1 19 17 7 9 1 3 13 8 5 2 12 6 20 16 11 15 14 18 4 10 0
3 20 0
1 20 1 0
1 20 8 4 1 3 5 6 2 9 7 0
1 20 9 0
1 20 16 12 2 4 1 9 11 7 6 19 13 3 8 10 14 15 17 18 5 0
0
1.0
2.0
3.0
4.0
5.0
6.0
7.0
8.0
9.0
10.0
11.0
12.0
13.0
14.0
15.0
16.0
17.0
18.0
19.0
20.0
