21 Unknown
1 6 15 16 17 2 1 19 8 12 21 3 14 11 18 4 10 13 9 7 20 5 0
1 6 17 20 10 1 2 21 16 18 19 3 14 11 13 9 8 7 12 5 15 4 0
1 7 19 16 15 2 17 10 13 6 20 18 1 8 3 4 12 21 9 11 5 14 0
1 8 4 17 16 6 5 13 11 20 19 1 15 9 7 2 18 12 10 14 3 0
1 8 5 14 13 4 3 9 10 15 17 1 11 6 12 16 7 2 0
1 9 1 5 21 18 13 2 3 15 11 6 19 12 7 8 17 4 20 10 16 14 0
1 11 4 19 15 7 3 16 17 21 20 1 13 6 12 2 14 18 10 9 8 5 0
1 11 8 21 15 1 3 12 4 17 20 5 10 2 6 19 9 13 18 7 14 0
1 11 18 17 19 1 2 12 13 16 21 4 5 14 3 8 15 20 10 7 6 9 0
1 12 5 16 6 2 4 13 15 21 20 1 19 10 9 7 14 17 8 11 18 3 0
1 13 12 19 20 7 10 6 17 21 11 3 5 1 4 14 8 9 15 2 16 0
1 14 8 17 9 1 7 15 10 20 16 12 3 2 6 4 21 13 5 11 0
1 15 4 20 1 6 2 17 5 21 18 3 11 12 10 13 9 19 14 16 7 8 0
1 15 10 14 19 3 8 18 7 21 20 2 12 6 1 9 5 17 13 16 4 11 0
1 16 14 12 18 1 5 13 8 21 19 3 10 2 7 6 11 15 17 4 9 0
1 16 14 13 20 1 10 12 9 21 19 3 11 15 2 5 6 17 8 18 4 7 0
1 16 15 10 18 3 14 17 9 21 20 2 8 11 1 6 5 19 13 4 12 0
1 17 10 16 20 2 7 13 11 19 18 4 12 14 1 3 9 21 8 6 5 15 0
1 17 15 12 19 2 9 13 11 20 21 3 5 6 1 7 8 16 14 18 4 10 0
1 18 6 3 15 7 5 8 12 4 11 16 14 20 1 2 9 10 19 17 13 21 0
1 18 19 13 9 1 5 14 16 4 17 2 20 6 7 11 8 12 10 15 21 3 0
1 19 17 10 15 1 9 16 7 21 18 5 8 13 2 4 6 12 11 14 3 0
2 21 0
1 21 1 0
1 21 1 2 0
1 21 1 2 4 3 0
1 21 1 3 2 0
1 21 1 5 6 4 3 2 0
1 21 2 0
2 21 2 1 3 0
1 21 2 1 4 5 3 6 0
3 21 2 3 1 0
1 21 2 6 3 1 4 10 5 16 0
2 21 3 2 1 0
1 21 3 4 2 1 0
1 21 6 2 8 3 4 9 7 10 5 1 0
1 21 7 1 2 5 8 3 4 6 0
1 21 8 2 10 5 9 4 6 1 7 3 0
1 21 9 1 4 2 3 8 10 5 6 7 0
1 21 12 10 4 8 11 9 7 5 13 1 2 3 6 0
1 21 13 11 16 3 6 14 15 18 19 8 4 5 7 2 9 20 17 10 1 12 0
1 21 15 5 4 16 3 1 2 19 18 17 0
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
