13 1.0
1 1 9 11 6 10 7 12 5 8 4 2 13 3 0
1 2 1 12 10 11 6 5 3 8 9 4 13 7 0
1 2 13 9 3 1 5 7 6 11 4 10 12 8 0
1 3 7 2 6 5 1 4 0
1 3 11 9 2 10 8 7 5 13 4 1 6 0
1 4 8 10 5 13 9 7 1 12 11 2 6 3 0
1 6 9 8 7 10 4 2 5 12 11 1 13 3 0
1 6 9 12 8 3 7 11 4 1 2 10 13 5 0
1 6 13 1 4 2 3 5 0
1 6 13 5 7 3 8 9 2 1 4 0
1 7 6 2 3 5 1 4 0
1 7 9 13 2 4 8 3 10 5 1 11 12 6 0
1 7 13 1 2 6 3 8 4 11 12 5 9 10 0
1 8 5 13 2 3 6 4 7 12 11 1 10 9 0
1 8 7 13 2 10 4 3 11 1 9 0
1 8 9 4 6 3 10 7 11 2 1 12 5 13 0
1 8 10 2 5 1 13 9 3 11 12 6 4 7 0
1 9 13 3 2 8 5 7 12 11 10 1 6 4 0
1 9 13 8 2 1 4 11 5 6 12 3 10 7 0
1 9 13 12 7 6 5 10 8 1 3 4 2 11 0
1 10 4 1 13 6 2 0
1 10 12 11 1 3 2 6 9 4 5 8 13 7 0
1 10 13 6 8 4 7 5 2 9 12 1 3 11 0
1 11 13 7 2 3 8 10 1 5 6 4 12 9 0
1 11 13 10 12 3 6 4 8 1 7 5 9 2 0
1 11 13 12 6 2 5 10 4 1 9 8 3 7 0
1 12 3 4 2 5 1 13 0
1 12 3 5 10 8 6 7 2 11 9 1 13 4 0
1 13 1 8 5 7 4 0
1 13 4 2 6 1 3 5 0
1 13 4 3 1 5 2 0
1 13 5 1 0
0
1.0
2.0
3.0
4.0
5.0
6.0
7.0
8.0
9.0
10.0
11.0
12.0
13.0
