18 1.0
1 1 17 18 4 2 5 3 0
2 1 18 0
1 1 18 4 5 7 3 6 2 8 9 0
1 2 11 10 7 4 17 9 6 13 18 5 12 1 15 3 8 14 16 0
1 2 18 1 4 5 3 0
1 2 18 3 9 5 7 6 4 8 0
1 3 5 6 1 18 2 9 12 13 4 10 7 11 0
1 3 7 4 13 15 2 5 18 17 1 9 10 6 16 11 8 12 14 0
1 3 10 11 7 17 6 9 14 16 1 18 5 2 13 4 8 12 15 0
1 4 11 14 5 9 3 18 7 12 1 16 13 6 15 2 17 8 10 0
1 4 13 3 1 17 11 10 8 18 2 7 14 6 15 5 12 9 16 0
1 4 14 16 1 10 5 9 8 18 3 13 12 7 15 11 2 6 17 0
1 4 15 3 5 18 6 17 1 2 16 0
1 4 16 18 3 15 2 6 17 10 1 11 13 5 12 8 9 7 14 0
1 4 18 2 1 3 0
1 5 18 2 4 1 3 0
1 5 18 3 6 7 1 4 2 8 0
1 5 18 4 3 2 1 0
1 5 18 9 12 3 10 1 6 13 14 7 2 4 8 15 0
1 6 5 18 4 1 2 3 0
1 6 7 15 1 9 2 5 13 10 4 11 8 12 14 16 3 17 18 0
1 6 9 12 8 10 4 3 11 17 1 14 18 7 16 5 2 13 15 0
1 6 9 13 2 16 5 14 10 12 1 18 3 17 15 7 8 0
1 6 15 7 4 9 14 18 8 13 3 12 2 16 5 10 1 0
1 7 14 18 3 13 5 8 9 11 1 16 15 2 17 4 6 10 12 0
1 7 18 9 4 3 1 8 2 5 6 0
1 8 5 17 11 13 6 9 3 15 7 4 16 2 18 12 1 10 14 0
1 8 15 3 2 5 6 17 12 9 1 11 7 13 16 18 4 14 10 0
1 8 18 9 2 5 7 1 4 6 3 0
1 9 8 11 7 15 3 2 16 13 1 12 18 5 17 6 4 10 14 0
1 10 8 1 7 13 5 18 9 12 2 3 4 6 11 0
1 10 14 5 17 7 2 15 16 11 1 3 8 4 13 18 6 12 0
1 11 7 2 6 1 5 4 8 9 3 10 0
1 11 17 13 12 18 1 16 10 14 15 0
1 12 11 5 2 9 3 7 17 4 1 13 10 16 8 6 18 14 0
1 12 13 8 3 17 9 6 5 18 2 7 14 10 16 1 4 11 15 0
1 13 7 4 3 15 2 16 10 9 12 18 8 5 17 14 11 6 1 0
1 14 10 11 4 12 3 8 17 18 1 2 15 6 13 7 5 9 16 0
1 14 15 16 1 17 18 0
1 15 16 17 1 18 0
1 16 18 1 17 0
1 17 1 18 0
1 17 4 5 16 10 15 2 13 8 1 6 14 3 7 9 18 11 12 0
1 17 12 6 3 14 11 15 7 10 1 18 8 9 5 2 13 4 0
1 17 14 12 18 8 16 6 7 5 3 13 1 9 10 15 11 2 4 0
2 18 0
47 18 1 0
2 18 1 3 2 0
1 18 1 4 2 5 3 0
1 18 1 5 2 0
3 18 2 1 0
1 18 2 4 7 1 6 5 3 0
1 18 3 1 2 0
1 18 3 2 4 1 0
1 18 3 4 1 2 0
1 18 4 1 2 3 0
1 18 4 1 2 6 5 3 0
1 18 4 3 1 2 0
1 18 4 3 1 2 5 0
1 18 4 3 5 2 1 0
1 18 5 2 1 4 3 0
1 18 5 3 1 4 2 0
1 18 17 3 1 2 0
0
1.0
2.0
3.0
4.0
5.0
6.0
7.0
8.0
9.0
10.0
11.0
12.0
13.0
14.0
15.0
16.0
17.0
18.0
