voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,num_positions
0,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
1,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
2,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
3,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
4,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
5,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
6,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
7,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
8,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
9,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
10,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
12,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
13,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
14,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
15,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
16,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
17,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
18,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
19,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
20,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
21,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
22,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
23,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
24,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
25,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
26,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
27,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
28,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
29,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
30,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
31,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
32,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
33,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
34,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
35,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
36,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
37,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
38,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
39,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
40,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
41,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
42,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
43,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
44,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
45,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
46,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
47,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
48,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
49,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
50,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
51,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
52,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
53,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
54,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
55,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
56,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
57,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
58,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
59,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
60,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
61,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
62,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
63,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
64,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
65,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
66,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
67,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
68,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
69,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
70,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
71,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
72,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
73,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
74,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
75,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
76,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
77,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
78,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
79,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
80,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
81,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
82,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
83,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
84,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
85,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
86,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
87,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
88,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
89,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
90,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
91,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
92,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
93,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
94,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
95,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
96,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
97,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
98,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
99,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
100,Neil CROOKS (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
101,Neil CROOKS (Lab),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,skipped,3
102,Neil CROOKS (Lab),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,skipped,3
103,Neil CROOKS (Lab),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,skipped,3
104,Neil CROOKS (Lab),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,skipped,3
105,Neil CROOKS (Lab),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,skipped,3
106,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
107,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
108,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
109,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
110,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
111,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
112,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
113,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,3
114,Neil CROOKS (Lab),Harald GAVIN (LD),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
115,Neil CROOKS (Lab),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,3
116,Neil CROOKS (Lab),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,3
117,Neil CROOKS (Lab),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),James LESLIE (C),Carol LINDSAY (SNP),David ROSS (Lab),Jane GLEN (SNP),skipped,3
118,Neil CROOKS (Lab),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),David ROSS (Lab),skipped,skipped,skipped,skipped,3
119,Neil CROOKS (Lab),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),David ROSS (Lab),James LESLIE (C),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,3
120,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
121,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
122,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
123,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
124,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
125,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
126,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),Jane GLEN (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),Carol LINDSAY (SNP),skipped,3
127,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),David ROSS (Lab),skipped,skipped,skipped,skipped,3
128,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),David ROSS (Lab),skipped,skipped,skipped,skipped,3
129,Neil CROOKS (Lab),Harald GAVIN (LD),James LESLIE (C),David ROSS (Lab),Susan Natalie JEYNES (Grn),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,3
130,Neil CROOKS (Lab),Harald GAVIN (LD),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
131,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
132,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
133,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
134,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
135,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
136,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
137,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
138,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
139,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
140,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,3
141,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,3
142,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),Susan Natalie JEYNES (Grn),Jane GLEN (SNP),Carol LINDSAY (SNP),James LESLIE (C),skipped,3
143,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),Susan Natalie JEYNES (Grn),Jane GLEN (SNP),Carol LINDSAY (SNP),James LESLIE (C),skipped,3
144,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),James LESLIE (C),skipped,skipped,skipped,skipped,3
145,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),James LESLIE (C),skipped,skipped,skipped,skipped,3
146,Neil CROOKS (Lab),Harald GAVIN (LD),David ROSS (Lab),James LESLIE (C),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),Carol LINDSAY (SNP),skipped,3
147,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
148,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
149,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
150,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
151,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
152,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
153,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
154,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
155,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
156,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
157,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
158,Neil CROOKS (Lab),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,3
159,Neil CROOKS (Lab),Jane GLEN (SNP),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,3
160,Neil CROOKS (Lab),Jane GLEN (SNP),Harald GAVIN (LD),Carol LINDSAY (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),James LESLIE (C),skipped,3
161,Neil CROOKS (Lab),Jane GLEN (SNP),Harald GAVIN (LD),David ROSS (Lab),Susan Natalie JEYNES (Grn),Carol LINDSAY (SNP),James LESLIE (C),skipped,3
162,Neil CROOKS (Lab),Jane GLEN (SNP),Harald GAVIN (LD),David ROSS (Lab),Carol LINDSAY (SNP),Susan Natalie JEYNES (Grn),James LESLIE (C),skipped,3
163,Neil CROOKS (Lab),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,3
164,Neil CROOKS (Lab),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,3
165,Neil CROOKS (Lab),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,3
166,Neil CROOKS (Lab),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,3
167,Neil CROOKS (Lab),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,3
168,Neil CROOKS (Lab),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,3
169,Neil CROOKS (Lab),Jane GLEN (SNP),Susan Natalie JEYNES (Grn),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,3
170,Neil CROOKS (Lab),Jane GLEN (SNP),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
171,Neil CROOKS (Lab),Jane GLEN (SNP),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
172,Neil CROOKS (Lab),Jane GLEN (SNP),James LESLIE (C),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),Carol LINDSAY (SNP),David ROSS (Lab),skipped,3
173,Neil CROOKS (Lab),Jane GLEN (SNP),James LESLIE (C),Susan Natalie JEYNES (Grn),David ROSS (Lab),skipped,skipped,skipped,3
174,Neil CROOKS (Lab),Jane GLEN (SNP),James LESLIE (C),Carol LINDSAY (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),skipped,3
175,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
176,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
177,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
178,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
179,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
180,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
181,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
182,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
183,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
184,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
185,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
186,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
187,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
188,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
189,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
190,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
191,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
192,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
193,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
194,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
195,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
196,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
197,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
198,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
199,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
200,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
201,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),skipped,skipped,skipped,skipped,skipped,3
202,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),James LESLIE (C),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),David ROSS (Lab),skipped,3
203,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
204,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
205,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
206,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
207,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
208,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
209,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
210,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,3
211,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,3
212,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),James LESLIE (C),skipped,3
213,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),James LESLIE (C),skipped,3
214,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),James LESLIE (C),skipped,3
215,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),James LESLIE (C),skipped,3
216,Neil CROOKS (Lab),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),James LESLIE (C),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),skipped,3
217,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
218,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
219,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
220,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
221,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
222,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
223,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
224,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
225,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),skipped,skipped,skipped,skipped,skipped,3
226,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),Carol LINDSAY (SNP),James LESLIE (C),skipped,3
227,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),Carol LINDSAY (SNP),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),James LESLIE (C),skipped,3
228,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),Carol LINDSAY (SNP),Harald GAVIN (LD),Susan Natalie JEYNES (Grn),James LESLIE (C),skipped,3
229,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),Carol LINDSAY (SNP),Susan Natalie JEYNES (Grn),James LESLIE (C),Harald GAVIN (LD),skipped,3
230,Neil CROOKS (Lab),Jane GLEN (SNP),David ROSS (Lab),Carol LINDSAY (SNP),Susan Natalie JEYNES (Grn),James LESLIE (C),Harald GAVIN (LD),skipped,3
231,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
232,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
233,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,3
234,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,3
235,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),skipped,skipped,skipped,skipped,skipped,3
236,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),Harald GAVIN (LD),David ROSS (Lab),skipped,skipped,skipped,skipped,3
237,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),Jane GLEN (SNP),skipped,skipped,skipped,skipped,skipped,3
238,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),Jane GLEN (SNP),Carol LINDSAY (SNP),David ROSS (Lab),Harald GAVIN (LD),skipped,skipped,3
239,Neil CROOKS (Lab),Susan Natalie JEYNES (Grn),James LESLIE (C),skipped,skipped,skipped,skipped,skipped,3
