voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
28,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
29,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
30,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
31,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
32,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
33,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
34,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
35,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
36,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
37,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
38,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
39,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
40,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
41,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
42,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
43,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
44,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
45,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
46,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
47,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
48,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
49,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
50,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
51,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
52,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
53,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
54,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
55,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
56,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
57,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
58,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
59,Gary BOUSE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
