voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
0,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
1,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
2,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
3,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
4,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
5,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
6,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
7,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
8,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
9,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
10,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
11,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
12,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
13,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
14,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
15,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
16,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
17,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
18,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
19,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
20,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
21,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
22,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
23,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
24,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
25,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
26,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
27,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
28,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
29,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
30,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
31,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
32,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
33,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
34,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
35,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
36,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
37,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
38,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
39,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
40,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
41,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
42,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
43,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
44,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
45,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
46,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
47,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
48,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
49,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
50,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
51,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
52,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
53,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
54,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
55,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
56,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
57,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
58,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
59,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
60,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
61,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
62,John McNAMEE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
63,John McNAMEE (Lab),Isobel BLACK (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
64,John McNAMEE (Lab),Isobel BLACK (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
65,John McNAMEE (Lab),Isobel BLACK (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
66,John McNAMEE (Lab),Isobel BLACK (Con),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
67,John McNAMEE (Lab),Isobel BLACK (Con),Gavin WALLACE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
68,John McNAMEE (Lab),Michael McGLYNN (CPA),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
69,John McNAMEE (Lab),Michael McGLYNN (CPA),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
70,John McNAMEE (Lab),Michael McGLYNN (CPA),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
71,John McNAMEE (Lab),Michael McGLYNN (CPA),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
72,John McNAMEE (Lab),Michael McGLYNN (CPA),Michael MARTIN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
73,John McNAMEE (Lab),Michael McGLYNN (CPA),John MULLEN (SNP),Gavin WALLACE (Ind),Mark WATSON (LD),Michael MARTIN (Ind),Jim HANDIBODE (Lab),skipped,skipped,skipped,,10
74,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
75,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
76,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
77,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
78,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
79,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
80,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
81,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
82,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
83,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
84,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
85,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
86,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
87,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
88,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
89,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
90,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
91,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
92,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
93,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
94,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
95,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
96,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
97,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
98,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
99,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
100,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
101,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
102,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
103,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
104,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
105,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
106,John McNAMEE (Lab),Jim HANDIBODE (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,10
