voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
28,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
29,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
30,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
31,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
32,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
33,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
34,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
35,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
36,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
37,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
38,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
39,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
40,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
41,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
42,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
43,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
44,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
45,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
46,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
47,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
48,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
49,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
50,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
51,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
52,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
53,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
54,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
55,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
56,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
57,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
58,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
59,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
60,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
61,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
62,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
63,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
64,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
65,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
66,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
67,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
68,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
69,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
70,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
71,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
72,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
73,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
74,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
75,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
76,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
77,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
78,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
79,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
80,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
81,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
82,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
83,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
84,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
85,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
86,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
87,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
88,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
89,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
90,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
91,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
92,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
93,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
94,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
95,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
96,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
97,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
98,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
99,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
100,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
101,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
102,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
103,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
104,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
105,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
106,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
107,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
108,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
109,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
110,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
111,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
112,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
113,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
114,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
115,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
116,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
117,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
118,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
119,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
120,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
121,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
122,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
123,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
124,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
125,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
126,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
127,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
128,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
129,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
130,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
131,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
132,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
133,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
134,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
135,Lindsay ASHFORD(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,7
136,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
137,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
138,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
139,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
140,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
141,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
142,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
143,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
144,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
145,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
146,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
147,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
148,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
149,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
150,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,,7
151,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,,7
152,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Eric MILLIGAN (Lab),Catherine FULLERTON (SNP),Neil MACLEAN (LD),skipped,skipped,,7
153,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
154,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
155,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
156,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
157,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Eric MILLIGAN (Lab),Neil MACLEAN (LD),skipped,skipped,skipped,,7
158,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),Neil MACLEAN (LD),Eric MILLIGAN (Lab),skipped,skipped,,7
159,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),Neil MACLEAN (LD),Eric MILLIGAN (Lab),skipped,skipped,,7
160,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
161,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
162,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
163,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
164,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
165,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
166,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
167,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,skipped,,7
168,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),Eric MILLIGAN (Lab),skipped,skipped,skipped,,7
169,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),Eric MILLIGAN (Lab),skipped,skipped,skipped,,7
170,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),Eric MILLIGAN (Lab),Catherine FULLERTON (SNP),skipped,skipped,,7
171,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),Eric MILLIGAN (Lab),Catherine FULLERTON (SNP),skipped,skipped,,7
172,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),Eric MILLIGAN (Lab),Catherine FULLERTON (SNP),skipped,skipped,,7
173,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
174,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
175,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,skipped,,7
176,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),skipped,skipped,skipped,skipped,,7
177,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),skipped,skipped,skipped,skipped,,7
178,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),Eric MILLIGAN (Lab),Neil MACLEAN (LD),skipped,skipped,,7
179,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),Neil MACLEAN (LD),skipped,skipped,skipped,,7
180,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),Neil MACLEAN (LD),Eric MILLIGAN (Lab),skipped,skipped,,7
181,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),Neil MACLEAN (LD),Eric MILLIGAN (Lab),skipped,skipped,,7
182,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),skipped,skipped,skipped,skipped,,7
183,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),skipped,skipped,skipped,skipped,,7
184,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),skipped,skipped,skipped,skipped,,7
185,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),Neil MACLEAN (LD),Eric MILLIGAN (Lab),skipped,skipped,,7
186,Lindsay ASHFORD(Grn),Susan Stewart DEWHURST(Con),Catherine FULLERTON (SNP),skipped,skipped,skipped,skipped,,7
187,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
188,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
189,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
190,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
191,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
192,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
193,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
194,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
195,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),skipped,skipped,skipped,skipped,skipped,,7
196,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,,7
197,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,,7
198,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,,7
199,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),Susan Stewart DEWHURST(Con),skipped,skipped,skipped,skipped,,7
200,Lindsay ASHFORD(Grn),Eric MILLIGAN (Lab),Susan Stewart DEWHURST(Con),Neil MACLEAN (LD),skipped,skipped,skipped,,7
