,file_name,num_cands,old_winner,new_winner,ballot_change_num,modified_ballots
0,./data/civs/civs_subfolder/ef586fe824.csv,6,A,B,15,"[['CDBAEF', 'BCDAEF', 1], ['CDEFBA', 'BCDEFA', 1], ['CFBA', 'BCFA', 2], ['DBAECF', 'BDAECF', 1], ['DBCA', 'BDCA', 1], ['DBCAEF', 'BDCAEF', 1], ['DEBACF', 'BDEACF', 1], ['DFCBAE', 'BDFCAE', 1], ['EBDCAF', 'BEDCAF', 1], ['EDCBFA', 'BEDCFA', 1], ['FBA', 'BFA', 1], ['FBAC', 'BFAC', 1], ['FBAEDC', 'BFAEDC', 1], ['FDBCAE', 'BFDCAE', 1]]"
1,./data/civs/civs_subfolder/86dff5d3c3.csv,14,H,B,12,"[['CIKDBJMGFHEALN', 'BCIKDJMGFHEALN', 1], ['CJFEBILDGMHAKN', 'BCJFEILDGMHAKN', 1], ['EFCLBGMHDIKAJN', 'BEFCLGMHDIKAJN', 1], ['EGKBAIMDHLCJN', 'BEGKAIMDHLCJN', 1], ['EMBJCLIGDNHAFK', 'BEMJCLIGDNHAFK', 1], ['FGKICDMBEAJHLN', 'BFGKICDMEAJHLN', 1], ['ICNAKBLFMJDGHE', 'BICNAKLFMJDGHE', 1], ['JEIDCGMBFALHN', 'BJEIDCGMFALHN', 1], ['JLEBHMIACNGFDK', 'BJLEHMIACNGFDK', 1], ['KBNDJCEMLAHIFG', 'BKNDJCEMLAHIFG', 1], ['LFIABNEKCDHJM', 'BLFIANEKCDHJM', 1], ['LGFBKEMADHIJCN', 'BLGFKEMADHIJCN', 1]]"
2,./data/civs/civs_subfolder/dfeb187823.csv,7,G,A,30,"[['BAC', 'ABC', 1], ['BAGDC', 'ABGDC', 1], ['BAGDECF', 'ABGDECF', 1], ['BCADE', 'ABCDE', 1], ['BCFDEAG', 'ABCFDEG', 1], ['BDAFGEC', 'ABDFGEC', 1], ['BDAGFEC', 'ABDGFEC', 1], ['BEADGFC', 'ABEDGFC', 1], ['CAFDBE', 'ACFDBE', 1], ['CDAEGFB', 'ACDEGFB', 1], ['CDBEA', 'ACDBE', 1], ['CDFAGBE', 'ACDFGBE', 1], ['DACEGFB', 'ADCEGFB', 1], ['DAGCEFB', 'ADGCEFB', 1], ['DCBA', 'ADCB', 1], ['DCFAEGB', 'ADCFEGB', 1], ['EACFBDG', 'AECFBDG', 1], ['EAFCGBD', 'AEFCGBD', 1], ['EAFDGBC', 'AEFDGBC', 1], ['ECABG', 'AECBG', 1], ['ECADFGB', 'AECDFGB', 1], ['ECBFADG', 'AECBFDG', 1], ['ECDAGFB', 'AECDGFB', 3], ['FADEGCB', 'AFDEGCB', 1], ['FAEDGCB', 'AFEDGCB', 1], ['FAGBCED', 'AFGBCED', 1], ['FAGEDBC', 'AFGEDBC', 1], ['FEBDCAG', 'AFEBDCG', 1]]"
3,./data/civs/civs_subfolder/a1712997da.csv,3,A,C,6,"[['BCA', 'CBA', 6]]"
4,./data/civs/civs_subfolder/375feb6ddb.csv,9,F,B,13,"[['ABIDGECFH', 'BAIDGECFH', 1], ['CBDHIAFEG', 'BCDHIAFEG', 1], ['CGEBAIFDH', 'BCGEAIFDH', 1], ['DBECA', 'BDECA', 1], ['DGHICEBAF', 'BDGHICEAF', 1], ['EBHIFGACD', 'BEHIFGACD', 1], ['GAHBFCDIE', 'BGAHFCDIE', 1], ['HBIEGCDAF', 'BHIEGCDAF', 1], ['IADEBC', 'BIADEC', 1], ['IBA', 'BIA', 1], ['ICBA', 'BICA', 1], ['ICDBFEGAH', 'BICDFEGAH', 1], ['ICEDBA', 'BICEDA', 1]]"
5,./data/civs/civs_subfolder/9e73a4ee6a.csv,9,I,A,58,"[['BAI', 'ABI', 1], ['BAIC', 'ABIC', 1], ['BAIEFCDHG', 'ABIEFCDHG', 1], ['BCFAIDEGH', 'ABCFIDEGH', 1], ['BDCAIE', 'ABDCIE', 1], ['BDHCFAGEI', 'ABDHCFGEI', 1], ['BEACID', 'ABECID', 1], ['BECADI', 'ABECDI', 1], ['BEHAIFDCG', 'ABEHIFDCG', 1], ['BGEACIFDH', 'ABGECIFDH', 1], ['BGEADIFH', 'ABGEDIFH', 1], ['BHFAGCEDI', 'ABHFGCEDI', 1], ['BHFEACIDG', 'ABHFECIDG', 1], ['CADBHGFIE', 'ACDBHGFIE', 1], ['CBAD', 'ACBD', 1], ['CBAHI', 'ACBHI', 1], ['CDAIB', 'ACDIB', 1], ['CEDAFBIHG', 'ACEDFBIHG', 1], ['CFADBGE', 'ACFDBGE', 1], ['CFDGBAHEI', 'ACFDGBHEI', 1], ['CGHFDEABI', 'ACGHFDEBI', 1], ['DABFI', 'ADBFI', 1], ['DAEBC', 'ADEBC', 1], ['DAHCFGEBI', 'ADHCFGEBI', 1], ['DBAHI', 'ADBHI', 1], ['DBGAFICH', 'ADBGFICH', 1], ['DEAICBFG', 'ADEICBFG', 1], ['DEHAIFCB', 'ADEHIFCB', 1], ['DGBCA', 'ADGBC', 1], ['DGECAIBHF', 'ADGECIBHF', 1], ['DGFABIECH', 'ADGFBIECH', 1], ['EAIDCB', 'AEIDCB', 1], ['EBDCA', 'AEBDC', 1], ['EDCBHAIFG', 'AEDCBHIFG', 1], ['EGFADBCI', 'AEGFDBCI', 1], ['EHFAGCBDI', 'AEHFGCBDI', 1], ['EHFBDACGI', 'AEHFBDCGI', 1], ['FBHCAE', 'AFBHCE', 1], ['FDEAGBCHI', 'AFDEGBCHI', 1], ['FEBDGACHI', 'AFEBDGCHI', 1], ['FEDCGBAH', 'AFEDCGBH', 1], ['FEHACBGDI', 'AFEHCBGDI', 1], ['FGCAHEDI', 'AFGCHEDI', 1], ['FGDCBEAHI', 'AFGDCBEHI', 1], ['FHACIBEDG', 'AFHCIBEDG', 1], ['GACBDEFIH', 'AGCBDEFIH', 1], ['GAHDICFBE', 'AGHDICFBE', 1], ['GBCDEFAIH', 'AGBCDEFIH', 1], ['GDEAIFH', 'AGDEIFH', 1], ['GEACFIBHD', 'AGECFIBHD', 1], ['GEAFCBD', 'AGEFCBD', 1], ['GFBCHEAID', 'AGFBCHEID', 1], ['GHAB', 'AGHB', 1], ['GHDACIBFE', 'AGHDCIBFE', 1], ['HAIB', 'AHIB', 1], ['HBCAGIFED', 'AHBCGIFED', 1], ['HCAB', 'AHCB', 1], ['HFBCGEDAI', 'AHFBCGEDI', 1]]"
6,./data/civs/civs_subfolder/8011641884.csv,23,C,A,15,"[['DONEQWHMBSAGLVUPJCIFRTK', 'ADONEQWHMBSGLVUPJCIFRTK', 1], ['DUEGFSJKAIOVWRPCBTQLMHN', 'ADUEGFSJKIOVWRPCBTQLMHN', 1], ['DWTBLAJFCEV', 'ADWTBLJFCEV', 1], ['FMDKJRLAIEPQHBGCNO', 'AFMDKJRLIEPQHBGCNO', 1], ['FRHGOJIABMPNECLDQK', 'AFRHGOJIBMPNECLDQK', 1], ['FSDLMQUKANERWPCJBVHGOIT', 'AFSDLMQUKNERWPCJBVHGOIT', 1], ['GWHJVEABCID', 'AGWHJVEBCID', 1], ['HLAGEMTFDIRSWKQJPOCBN', 'AHLGEMTFDIRSWKQJPOCBN', 1], ['HWFAGBCDEI', 'AHWFGBCDEI', 1], ['INFDJQUHBMRTWOGLAVCEPKS', 'AINFDJQUHBMRTWOGLVCEPKS', 1], ['JQBHIPTGALNSURMFCVDEKOW', 'AJQBHIPTGLNSURMFCVDEKOW', 1], ['KMEDNSTIAOBWUQGLCVHFJPR', 'AKMEDNSTIOBWUQGLCVHFJPR', 1], ['OPAJWEBDGHCKIFMLN', 'AOPJWEBDGHCKIFMLN', 1], ['QHJKDISFVEWRTLABOUGNMCP', 'AQHJKDISFVEWRTLBOUGNMCP', 1], ['WBADEC', 'AWBDEC', 1]]"
7,./data/civs/civs_subfolder/660f71d680.csv,15,C,E,214,"[['ADOEGMLJHFCINK', 'EADOGMLJHFCINK', 1], ['AEGHNCLJMDKIOF', 'EAGHNCLJMDKIOF', 1], ['AEHDOCKJLGMNFI', 'EAHDOCKJLGMNFI', 1], ['AHNEGMFIOKJDCL', 'EAHNGMFIOKJDCL', 1], ['AJENFHDCOGL', 'EAJNFHDCOGL', 1], ['AKNMLIEC', 'EAKNMLIC', 1], ['ANEDGCIOMLKHJF', 'EANDGCIOMLKHJF', 1], ['ANGDECHFMLKIOJ', 'EANGDCHFMLKIOJ', 1], ['ANJDECLGMHKIOF', 'EANJDCLGMHKIOF', 1], ['ANODECLGMHKIJF', 'EANODCLGMHKIJF', 1], ['AOELFDKMNGCJHI', 'EAOLFDKMNGCJHI', 1], ['BEC', 'EBC', 1], ['BJEGCND', 'EBJGCND', 1], ['BNEKICA', 'EBNKICA', 1], ['DAEFIHJMOGCNLK', 'EDAFIHJMOGCNLK', 1], ['DBEOGLFHCJN', 'EDBOGLFHCJN', 1], ['DEKONBJGC', 'EDKONBJGC', 1], ['DFKEGBCMHJNAIL', 'EDFKGBCMHJNAIL', 1], ['DHAJIMFBOECNGL', 'EDHAJIMFBOCNGL', 1], ['DHENKOBFCGJ', 'EDHNKOBFCGJ', 1], ['DHGEAIJLKCFNO', 'EDHGAIJLKCFNO', 1], ['DKNGFJEOIL', 'EDKNGFJOIL', 1], ['DLKJFOHENCG', 'EDLKJFOHNCG', 1], ['DLKNFAOMEICJHG', 'EDLKNFAOMICJHG', 1], ['DMNEJKCO', 'EDMNJKCO', 1], ['DNEMAJCIHOFGKL', 'EDNMAJCIHOFGKL', 1], ['DNGJMEFKIAOHLC', 'EDNGJMFKIAOHLC', 1], ['DNLHOIJMEGFCAK', 'EDNLHOIJMGFCAK', 1], ['DOGENJAILCKHFM', 'EDOGNJAILCKHFM', 1], ['DOJKHNEAMGC', 'EDOJKHNAMGC', 1], ['FGLJHDEANOIC', 'EFGLJHDANOIC', 1], ['FGODECIHMLKAJN', 'EFGODCIHMLKAJN', 1], ['FIMLNDHGOEACKJ', 'EFIMLNDHGOACKJ', 1], ['FLKGHECDJM', 'EFLKGHCDJM', 1], ['FNELOHCIJGAMKD', 'EFNLOHCIJGAMKD', 1], ['FNHLECDOMJKAGI', 'EFNHLCDOMJKAGI', 1], ['GBEKCN', 'EGBKCN', 1], ['GEAFBDNKMJO', 'EGAFBDNKMJO', 1], ['GECHOLNAIMFDJK', 'EGCHOLNAIMFDJK', 1], ['GEKJCON', 'EGKJCON', 1], ['GENOIACHMFDJLK', 'EGNOIACHMFDJLK', 1], ['GHAILFEDCMNKO', 'EGHAILFDCMNKO', 1], ['GIDEJLMAOCFHN', 'EGIDJLMAOCFHN', 1], ['GIDHNLJBECAK', 'EGIDHNLJBCAK', 1], ['GIMNOEADJFCKHL', 'EGIMNOADJFCKHL', 1], ['GINOKAEC', 'EGINOKAC', 1], ['GKECN', 'EGKCN', 1], ['GKEFJANHLICDOM', 'EGKFJANHLICDOM', 1], ['GKEOCNJ', 'EGKOCNJ', 1], ['GKEODNCFJ', 'EGKODNCFJ', 1], ['GKJNECO', 'EGKJNCO', 1], ['GKOJDLNAIHECFM', 'EGKOJDLNAIHCFM', 1], ['GLJANEOMIHCFDK', 'EGLJANOMIHCFDK', 1], ['GLJEOKNDFHACIM', 'EGLJOKNDFHACIM', 1], ['GLKINOEHJCMDFA', 'EGLKINOHJCMDFA', 1], ['GNKHOFLIEJC', 'EGNKHOFLIJC', 1], ['HEOBNGFIDALJC', 'EHOBNGFIDALJC', 1], ['HGEJNCIFMDKAOL', 'EHGJNCIFMDKAOL', 1], ['HGIJEADLMCOFNK', 'EHGIJADLMCOFNK', 1], ['HKAMNJFOGELDCI', 'EHKAMNJFOGLDCI', 1], ['HLNEIAOJFCDKM', 'EHLNIAOJFCDKM', 1], ['HNFLECDOMJKAGI', 'EHNFLCDOMJKAGI', 1], ['HNMDAEJBCIOKL', 'EHNMDAJBCIOKL', 1], ['HNOFECIJMLKAGD', 'EHNOFCIJMLKAGD', 1], ['HOJEGKLANIMDF', 'EHOJGKLANIMDF', 1], ['HONKDECJF', 'EHONKDCJF', 1], ['IDEHNCJGMLKAOF', 'EIDHNCJGMLKAOF', 1], ['IDEJFMAGOCNLHK', 'EIDJFMAGOCNLHK', 1], ['IEGDNCLHMFKAJO', 'EIGDNCLHMFKAJO', 1], ['IGEDNCLOMHKAFJ', 'EIGDNCLOMHKAFJ', 1], ['IGEFNCLJMHKAOD', 'EIGFNCLJMHKAOD', 1], ['IHJADEMLOFNGKC', 'EIHJADMLOFNGKC', 1], ['IJEONCLHMFKADG', 'EIJONCLHMFKADG', 1], ['IKJDELGMFCONAH', 'EIKJDLGMFCONAH', 1], ['INAJECHOMFKLGD', 'EINAJCHOMFKLGD', 1], ['INEFGCHJMLKAOD', 'EINFGCHJMLKAOD', 1], ['INEOGCLHMDKAJF', 'EINOGCLHMDKAJF', 1], ['INGDECHOMLKAJF', 'EINGDCHOMLKAJF', 1], ['INGFECHJMLKAOD', 'EINGFCHJMLKAOD', 1], ['INGOECHFMLKADJ', 'EINGOCHFMLKADJ', 1], ['IOEJNCLHMFKAGD', 'EIOJNCLHMFKAGD', 1], ['IOJMFLEAHNGK', 'EIOJMFLAHNGK', 1], ['JENOLKFDMICG', 'EJNOLKFDMICG', 1], ['JFEGOLBDCNH', 'EJFGOLBDCNH', 1], ['JGEOKCN', 'EJGOKCN', 1], ['JHLOEKNICDFMAG', 'EJHLOKNICDFMAG', 1], ['JKMENDALHGFICO', 'EJKMNDALHGFICO', 1], ['JLEAFCHGMONDIK', 'EJLAFCHGMONDIK', 1], ['JNEGDHOCKFILAM', 'EJNGDHOCKFILAM', 1], ['KBNEC', 'EKBNC', 1], ['KDJOGAFHELICN', 'EKDJOGAFHLICN', 1], ['KEC', 'EKC', 8], ['KECBGLHNOJ', 'EKCBGLHNOJ', 1], ['KECGN', 'EKCGN', 1], ['KECN', 'EKCN', 2], ['KECNG', 'EKCNG', 1], ['KECNJGO', 'EKCNJGO', 1], ['KECOGN', 'EKCOGN', 1], ['KECONG', 'EKCONG', 1], ['KEJGOCN', 'EKJGOCN', 1], ['KENBCG', 'EKNBCG', 1], ['KENC', 'EKNC', 4], ['KENCG', 'EKNCG', 1], ['KENCGO', 'EKNCGO', 1], ['KENOCG', 'EKNOCG', 1], ['KEOGCN', 'EKOGCN', 1], ['KEONGJC', 'EKONGJC', 1], ['KFJEBOGHNDC', 'EKFJBOGHNDC', 1], ['KFJIDEMLNGCOHA', 'EKFJIDMLNGCOHA', 1], ['KGBNEC', 'EKGBNC', 1], ['KGENC', 'EKGNC', 2], ['KGJECON', 'EKGJCON', 1], ['KGJHMDAOLIFNEC', 'EKGJHMDAOLIFNC', 1], ['KGLAEDNIFJMOCH', 'EKGLADNIFJMOCH', 1], ['KGNEC', 'EKGNC', 1], ['KGNILEHFDCOAJ', 'EKGNILHFDCOAJ', 1], ['KGOECN', 'EKGOCN', 1], ['KINGAEC', 'EKINGAC', 1], ['KJEIGACN', 'EKJIGACN', 1], ['KJGONEC', 'EKJGONC', 1], ['KJIAEOMHNFCDL', 'EKJIAOMHNFCDL', 1], ['KLECAIM', 'EKLCAIM', 1], ['KLGENHJCFDO', 'EKLGNHJCFDO', 1], ['KNEC', 'EKNC', 4], ['KNEOCJG', 'EKNOCJG', 1], ['KNGDJFHECO', 'EKNGDJFHCO', 1], ['KNGEC', 'EKNGC', 1], ['KNGEOC', 'EKNGOC', 1], ['KNGOE', 'EKNGO', 1], ['KNOECGJ', 'EKNOCGJ', 1], ['KNOECJG', 'EKNOCJG', 1], ['KOEIGHCJ', 'EKOIGHCJ', 1], ['KOEJCN', 'EKOJCN', 1], ['KOEJFHMNLDAIGC', 'EKOJFHMNLDAIGC', 1], ['KOENJGC', 'EKONJGC', 1], ['KOGEJDLHCFN', 'EKOGJDLHCFN', 1], ['KOME', 'EKOM', 1], ['LDOHFAEMIGKNC', 'ELDOHFAMIGKNC', 1], ['LEIHGFKMDAJCON', 'ELIHGFKMDAJCON', 1], ['LENOGCIFMDKAJH', 'ELNOGCIFMDKAJH', 1], ['LFOMGAHJEKCIN', 'ELFOMGAHJKCIN', 1], ['LGEDFOIKCNJ', 'ELGDFOIKCNJ', 1], ['LHAEDJKIOCFMNG', 'ELHADJKIOCFMNG', 1], ['LJEMHKCFAN', 'ELJMHKCFAN', 1], ['LJGEKBC', 'ELJGKBC', 1], ['LKFNMEODCJG', 'ELKFNMODCJG', 1], ['LNEDGCFHMIKAOJ', 'ELNDGCFHMIKAOJ', 1], ['LNEFGCHJMIKAOD', 'ELNFGCHJMIKAOD', 1], ['LNEFGCHOMIKAJD', 'ELNFGCHOMIKAJD', 1], ['LNGFECHJMIKAOD', 'ELNGFCHJMIKAOD', 1], ['LNGHECIJMDKAOF', 'ELNGHCIJMDKAOF', 1], ['LNGMIAOEHJCK', 'ELNGMIAOHJCK', 1], ['LNODECIFMHKAGJ', 'ELNODCIFMHKAGJ', 1], ['LNOJECIFMHKADG', 'ELNOJCIFMHKADG', 1], ['MECABOKGN', 'EMCABOKGN', 1], ['MECHLIKDONGJFA', 'EMCHLIKDONGJFA', 1], ['MEIHFNKAJGDOLC', 'EMIHFNKAJGDOLC', 1], ['MHLJDOKANGIFEC', 'EMHLJDOKANGIFC', 1], ['MIGLHAEKJDFCON', 'EMIGLHAKJDFCON', 1], ['NBKE', 'ENBK', 1], ['NDHEKFCOJAGLMI', 'ENDHKFCOJAGLMI', 1], ['NDOHAFEJGMCLKI', 'ENDOHAFJGMCLKI', 1], ['NEMDGJIKHOFLAC', 'ENMDGJIKHOFLAC', 1], ['NFKEJGHAILDMOC', 'ENFKJGHAILDMOC', 1], ['NGEKC', 'ENGKC', 1], ['NGJAMDHEFICKLO', 'ENGJAMDHFICKLO', 1], ['NHDOIFEMLJCGAK', 'ENHDOIFMLJCGAK', 1], ['NIEGJKCLOMA', 'ENIGJKCLOMA', 1], ['NIEMJGAFHLCDOK', 'ENIMJGAFHLCDOK', 1], ['NIGHDAJMEOCFLK', 'ENIGHDAJMOCFLK', 1], ['NJKHGMLEA', 'ENJKHGMLA', 1], ['NJMLIAEFDHCGOK', 'ENJMLIAFDHCGOK', 1], ['NKBHEOFC', 'ENKBHOFC', 1], ['NKDIFALJOECGHM', 'ENKDIFALJOCGHM', 1], ['NKEC', 'ENKC', 1], ['NKECOG', 'ENKCOG', 1], ['NKEJCOG', 'ENKJCOG', 1], ['NLFIJKOEMHDCAG', 'ENLFIJKOMHDCAG', 1], ['NLGKIEHBDJCOF', 'ENLGKIHBDJCOF', 1], ['NMDEGKCHLAJOFI', 'ENMDGKCHLAJOFI', 1], ['NOFALGDEIHCKMJ', 'ENOFALGDIHCKMJ', 1], ['NOHFKDBGELC', 'ENOHFKDBGLC', 1], ['NOKEJDBCGF', 'ENOKJDBCGF', 1], ['NOMKFELJDCH', 'ENOMKFLJDCH', 1], ['OAMFLHEJDGNCKI', 'EOAMFLHJDGNCKI', 1], ['OEAHLCJMDGFKIN', 'EOAHLCJMDGFKIN', 1], ['OEDCGHIKMNLAJF', 'EODCGHIKMNLAJF', 1], ['OEGIJLHKFCDMNA', 'EOGIJLHKFCDMNA', 1], ['OEMNBLGAHFCIDK', 'EOMNBLGAHFCIDK', 1], ['OENKLHCFJGIAM', 'EONKLHCFJGIAM', 1], ['OFEBLNJHGDC', 'EOFBLNJHGDC', 1], ['OGBJEKNC', 'EOGBJKNC', 1], ['OJEBNFGCDH', 'EOJBNFGCDH', 1], ['OJFIGAEHDKCLMN', 'EOJFIGAHDKCLMN', 1], ['OJLGBEHCDFN', 'EOJLGBHCDFN', 1], ['OKEGNJC', 'EOKGNJC', 1], ['OKGECNJ', 'EOKGCNJ', 1], ['ONJGHEDFLIKAC', 'EONJGHDFLIKAC', 1], ['ONLHJEDBCF', 'EONLHJDBCF', 1]]"
8,./data/civs/civs_subfolder/aff1cd50f7.csv,14,A,N,31,"[['BCNA', 'NBCA', 1], ['BFDCKNHMGIEJAL', 'NBFDCKHMGIEJAL', 1], ['BFIHNMDJGECLAK', 'NBFIHMDJGECLAK', 1], ['BHGDENJKLFCIA', 'NBHGDEJKLFCIA', 1], ['BILEHJCGNKAMFD', 'NBILEHJCGKAMFD', 1], ['BLKNCJMIA', 'NBLKCJMIA', 1], ['BNA', 'NBA', 1], ['BNADC', 'NBADC', 1], ['BNCA', 'NBCA', 1], ['CBGEHNADFM', 'NCBGEHADFM', 1], ['CDNBAE', 'NCDBAE', 1], ['CEGINJHADBFMLK', 'NCEGIJHADBFMLK', 1], ['CHFNLKGDMEBJAI', 'NCHFLKGDMEBJAI', 1], ['DNLMACB', 'NDLMACB', 1], ['EBFKNADGC', 'NEBFKADGC', 1], ['EBICKNDLGFHMAJ', 'NEBICKDLGFHMAJ', 1], ['EJHBDINAKGCFL', 'NEJHBDIAKGCFL', 1], ['ENLFGMADBC', 'NELFGMADBC', 1], ['FNADCEB', 'NFADCEB', 1], ['GECDNAIMHLKBJF', 'NGECDAIMHLKBJF', 1], ['GMCNDBHAJFLEIK', 'NGMCDBHAJFLEIK', 1], ['HBFCMNIJAKGLDE', 'NHBFCMIJAKGLDE', 1], ['HJFBEILGCKNMAD', 'NHJFBEILGCKMAD', 1], ['IEKGMDLFJCN', 'NIEKGMDLFJC', 1], ['JNEHIDFAKBLGMC', 'NJEHIDFAKBLGMC', 1], ['KLDHIMNAJCFBGE', 'NKLDHIMAJCFBGE', 1], ['LNA', 'NLA', 1], ['MFBNADE', 'NMFBADE', 1], ['MIHBCENALGKDFJ', 'NMIHBCEALGKDFJ', 1], ['MN', 'NM', 1], ['MNA', 'NMA', 1]]"
9,./data/civs/civs_subfolder/00629c31d0.csv,7,B,A,21,"[['CAFBG', 'ACFBG', 1], ['DAECFGB', 'ADECFGB', 1], ['DAFBCGE', 'ADFBCGE', 1], ['DAFCEGB', 'ADFCEGB', 1], ['DAGBFEC', 'ADGBFEC', 1], ['DCEAFGB', 'ADCEFGB', 1], ['DFAGEBC', 'ADFGEBC', 1], ['ECDAB', 'AECDB', 1], ['FABDEGC', 'AFBDEGC', 1], ['FAEGCBD', 'AFEGCBD', 1], ['FCADBEG', 'AFCDBEG', 1], ['FDEACBG', 'AFDECBG', 1], ['FEADGCB', 'AFEDGCB', 1], ['FGCAEDB', 'AFGCEDB', 1], ['GAB', 'AGB', 2], ['GABFECD', 'AGBFECD', 1], ['GACBDEF', 'AGCBDEF', 1], ['GACBDFE', 'AGCBDFE', 1], ['GDAECBF', 'AGDECBF', 1], ['GEABFDC', 'AGEBFDC', 1]]"
