6 1
361 1 0
46 1 2 0
1 1 2 3 0
6 1 2 3 4 5 6 0
1 1 2 3 4 6 5 0
4 1 2 3 5 4 6 0
1 1 2 3 5 6 4 0
1 1 2 3 6 5 4 0
4 1 2 4 0
2 1 2 4 3 0
134 1 2 4 3 5 6 0
5 1 2 4 3 6 5 0
6 1 2 4 5 3 6 0
3 1 2 4 5 6 3 0
1 1 2 4 6 3 5 0
1 1 2 4 6 5 3 0
7 1 2 5 0
5 1 2 5 3 4 6 0
3 1 2 5 3 6 4 0
11 1 2 5 4 3 6 0
6 1 2 5 4 6 3 0
1 1 2 5 6 3 4 0
1 1 2 6 0
1 1 2 6 3 4 5 0
4 1 2 6 5 4 3 0
11 1 3 0
1 1 3 2 0
4 1 3 2 4 5 6 0
2 1 3 2 5 4 6 0
2 1 3 2 5 6 4 0
3 1 3 4 0
1 1 3 4 2 0
1 1 3 4 2 5 0
11 1 3 4 2 5 6 0
2 1 3 4 2 6 5 0
1 1 3 4 5 2 0
4 1 3 4 5 2 6 0
2 1 3 4 5 6 2 0
8 1 3 4 6 2 5 0
1 1 3 4 6 5 0
7 1 3 4 6 5 2 0
1 1 3 5 0
1 1 3 5 2 6 4 0
1 1 3 5 4 2 6 0
1 1 3 5 4 6 2 0
3 1 3 5 6 2 4 0
1 1 3 6 0
1 1 3 6 2 4 5 0
1 1 3 6 4 5 2 0
2 1 3 6 5 4 2 0
15 1 4 0
1 1 4 2 0
1 1 4 2 3 5 0
9 1 4 2 3 5 6 0
2 1 4 2 3 6 5 0
6 1 4 2 5 3 6 0
5 1 4 2 5 6 3 0
1 1 4 2 6 3 5 0
3 1 4 2 6 5 3 0
2 1 4 3 0
1 1 4 3 2 0
17 1 4 3 2 5 6 0
5 1 4 3 2 6 5 0
1 1 4 3 5 2 0
6 1 4 3 5 2 6 0
4 1 4 3 5 6 2 0
6 1 4 3 6 2 5 0
8 1 4 3 6 5 2 0
6 1 4 5 0
1 1 4 5 2 0
4 1 4 5 2 3 6 0
2 1 4 5 2 6 3 0
2 1 4 5 3 2 6 0
2 1 4 5 3 6 2 0
1 1 4 5 6 2 3 0
1 1 4 5 6 3 2 0
3 1 4 6 0
1 1 4 6 2 3 5 0
3 1 4 6 2 5 3 0
1 1 4 6 3 2 5 0
1 1 4 6 3 5 2 0
1 1 4 6 5 0
3 1 4 6 5 2 3 0
14 1 5 0
6 1 5 2 0
1 1 5 2 3 4 6 0
1 1 5 2 3 6 4 0
1 1 5 2 4 0
3 1 5 2 4 3 6 0
7 1 5 2 4 6 3 0
1 1 5 2 6 3 4 0
1 1 5 2 6 4 3 0
3 1 5 3 0
3 1 5 3 4 2 6 0
1 1 5 3 6 4 2 0
2 1 5 4 0
3 1 5 4 2 3 6 0
1 1 5 4 3 6 2 0
1 1 5 4 6 2 3 0
1 1 5 4 6 3 2 0
2 1 5 6 0
3 1 5 6 3 4 2 0
1 1 5 6 4 2 3 0
1 1 5 6 4 3 0
3 1 5 6 4 3 2 0
5 1 6 0
1 1 6 2 0
1 1 6 2 3 4 5 0
1 1 6 2 4 5 3 0
4 1 6 3 0
1 1 6 3 2 4 5 0
3 1 6 3 4 2 5 0
3 1 6 3 4 5 2 0
2 1 6 3 5 4 2 0
1 1 6 4 0
1 1 6 4 2 5 3 0
3 1 6 4 3 2 5 0
4 1 6 4 3 5 2 0
1 1 6 4 5 2 0
1 1 6 4 5 3 2 0
3 1 6 5 0
2 1 6 5 2 3 4 0
3 1 6 5 2 4 3 0
1 1 6 5 3 2 4 0
4 1 6 5 3 4 2 0
1 1 6 5 4 2 3 0
4 1 6 5 4 3 2 0
12516 2 0
54 2 1 0
4 2 1 3 0
1 2 1 3 4 5 0
29 2 1 3 4 5 6 0
14 2 1 3 4 6 5 0
10 2 1 3 5 4 6 0
6 2 1 3 5 6 4 0
8 2 1 3 6 4 5 0
1 2 1 3 6 5 0
2 2 1 3 6 5 4 0
8 2 1 4 0
31 2 1 4 3 5 6 0
25 2 1 4 3 6 5 0
1 2 1 4 5 3 0
