file,candidate_removed,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/dumgal17-ballots/Nith_dumgal17-09.csv,Niall COWAN (Ind),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,John MARTIN (Lab),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Malcolm JOHNSTONE (Con),['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Niall COWAN (Ind)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,John CAMPBELL (SNP),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Alastair WITTS (SNP),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Andrew CROSBIE (Ind),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,John DENNIS (Ind),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Elaine MURRAY (Lab),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,David Robert SLATER (Ind),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Sandy ROGERSON (Grn),['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
