Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,Leslie Boghosian Murphy,Aleta A. LaFargue,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Aleta A. LaFargue,Leslie Boghosian Murphy,Marni Halasa,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,Leslie Boghosian Murphy,Aleta A. LaFargue,Marni Halasa,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Phelan D. Fitzpatrick,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Arthur Z. Schwartz,Phelan D. Fitzpatrick,Marni Halasa,Leslie Boghosian Murphy,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Marni Halasa,Aleta A. LaFargue,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Phelan D. Fitzpatrick,Aleta A. LaFargue,Leslie Boghosian Murphy,Marni Halasa,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Phelan D. Fitzpatrick,Aleta A. LaFargue,Leslie Boghosian Murphy,Marni Halasa,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 069,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Phelan D. Fitzpatrick,Aleta A. LaFargue,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Marni Halasa,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Marni Halasa,Arthur Z. Schwartz,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Phelan D. Fitzpatrick,Erik D. Bottcher,Arthur Z. Schwartz,Leslie Boghosian Murphy,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Leslie Boghosian Murphy,Marni Halasa,Phelan D. Fitzpatrick,Erik D. Bottcher,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Leslie Boghosian Murphy,Aleta A. LaFargue,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Leslie Boghosian Murphy,Marni Halasa,Aleta A. LaFargue,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Arthur Z. Schwartz,Marni Halasa,Aleta A. LaFargue,Phelan D. Fitzpatrick,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Aleta A. LaFargue,Marni Halasa,Phelan D. Fitzpatrick,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Marni Halasa,Leslie Boghosian Murphy,Aleta A. LaFargue,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Leslie Boghosian Murphy,Aleta A. LaFargue,Phelan D. Fitzpatrick,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 064,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Marni Halasa,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,Arthur Z. Schwartz,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,skipped,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,skipped,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,writein,Arthur Z. Schwartz,Leslie Boghosian Murphy,Erik D. Bottcher,Marni Halasa,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,Marni Halasa,Arthur Z. Schwartz,Phelan D. Fitzpatrick,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Phelan D. Fitzpatrick,Aleta A. LaFargue,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Marni Halasa,Arthur Z. Schwartz,Aleta A. LaFargue,Erik D. Bottcher,Leslie Boghosian Murphy,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Aleta A. LaFargue,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Leslie Boghosian Murphy,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Erik D. Bottcher,Marni Halasa,Arthur Z. Schwartz,Aleta A. LaFargue,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Marni Halasa,Phelan D. Fitzpatrick,Erik D. Bottcher,Aleta A. LaFargue,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Phelan D. Fitzpatrick,Arthur Z. Schwartz,Aleta A. LaFargue,Marni Halasa,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,Arthur Z. Schwartz,Marni Halasa,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Phelan D. Fitzpatrick,Leslie Boghosian Murphy,Erik D. Bottcher,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Marni Halasa,Aleta A. LaFargue,Leslie Boghosian Murphy,Phelan D. Fitzpatrick,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Aleta A. LaFargue,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Marni Halasa,Leslie Boghosian Murphy,Aleta A. LaFargue,Phelan D. Fitzpatrick,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Marni Halasa,Phelan D. Fitzpatrick,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,skipped,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Leslie Boghosian Murphy,Marni Halasa,Phelan D. Fitzpatrick,Arthur Z. Schwartz,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 67 ED: 013,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Aleta A. LaFargue,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Aleta A. LaFargue,Arthur Z. Schwartz,Phelan D. Fitzpatrick,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,writein,Arthur Z. Schwartz,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,Marni Halasa,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Erik D. Bottcher,Leslie Boghosian Murphy,Marni Halasa,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Erik D. Bottcher,Leslie Boghosian Murphy,Marni Halasa,Arthur Z. Schwartz,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,Phelan D. Fitzpatrick,Aleta A. LaFargue,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Marni Halasa,Erik D. Bottcher,Arthur Z. Schwartz,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Phelan D. Fitzpatrick,Marni Halasa,Leslie Boghosian Murphy,Erik D. Bottcher,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Phelan D. Fitzpatrick,Aleta A. LaFargue,Arthur Z. Schwartz,Erik D. Bottcher,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,Aleta A. LaFargue,Phelan D. Fitzpatrick,Marni Halasa,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Leslie Boghosian Murphy,Marni Halasa,Erik D. Bottcher,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Leslie Boghosian Murphy,Arthur Z. Schwartz,writein,Marni Halasa,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Leslie Boghosian Murphy,Phelan D. Fitzpatrick,Aleta A. LaFargue,Erik D. Bottcher,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Erik D. Bottcher,Leslie Boghosian Murphy,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Phelan D. Fitzpatrick,Leslie Boghosian Murphy,Marni Halasa,Aleta A. LaFargue,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Marni Halasa,Erik D. Bottcher,Aleta A. LaFargue,Leslie Boghosian Murphy,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,Erik D. Bottcher,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Arthur Z. Schwartz,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Phelan D. Fitzpatrick,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Erik D. Bottcher,Aleta A. LaFargue,Phelan D. Fitzpatrick,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Arthur Z. Schwartz,skipped,skipped,skipped,skipped,1,7
AD: 66 ED: 082,DEM ABS Ballot Style 9,2021P1V1_ABS,Aleta A. LaFargue,Marni Halasa,Erik D. Bottcher,Leslie Boghosian Murphy,Phelan D. Fitzpatrick,1,7
